typ_lokality;sitecode;nazev_lokality;typ_pro;skupina;kod_pro;nazev_pro
EVL;CZ0813438;Cihelna Kunín;Druh;Obojivelníci;;èolek velkı (Triturus cristatus)
EVL;CZ0623345;Citonice - rybník Skalka;Druh;Obojivelníci;;èolek dravı (Triturus carnifex)
EVL;CZ0320023;Èepièná;Stanovištì;Lesy;9150;Støedoevropské vápencové buèiny (Cephalanthero-Fagion)
EVL;CZ0320023;Èepièná;Stanovištì;Lesy;91U0;Lesostepní bory
EVL;CZ0320023;Èepièná;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6110;Vápnité nebo bazické skalní trávníky (Alysso-Sedion albi)
EVL;CZ0534050;Èernı Nadımaè;Druh;Cévnaté rostliny;;puchıøka útlá (Coleanthus subtilis)
EVL;CZ0534050;Èernı Nadımaè;Stanovištì;Sladkovodní stanovištì;3150;Pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition
EVL;CZ0810001;Èervenı kámen;Stanovištì;Lesy;9180;Lesy svazu Tilio-Acerion na svazích, sutích a v roklích
EVL;CZ0810001;Èervenı kámen;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6510;Extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)
EVL;CZ0810001;Èervenı kámen;Stanovištì;Vrchovištì, rašeliništì a moèály;7220;Petrifikující prameny s tvorbou pìnovcù (Cratoneurion)
EVL;CZ0513237;Èeská Lípa - mokøad v nivì Šporky;Druh;Obojivelníci;;kuòka ohnivá (Bombina bombina)
EVL;CZ0210150;Ètvrtì;Stanovištì;Lesy;9170;Dubohabøiny asociace Galio-Carpinetum
EVL;CZ0210150;Ètvrtì;Stanovištì;Vrchovištì, rašeliništì a moèály;7220;Petrifikující prameny s tvorbou pìnovcù (Cratoneurion)
EVL;CZ0614053;Dáøská rašeliništì;Stanovištì;Lesy;91D0;Rašelinnı les
EVL;CZ0614053;Dáøská rašeliništì;Stanovištì;Lesy;9410;Acidofilní smrèiny (Vaccinio-Piceetea)
EVL;CZ0614053;Dáøská rašeliništì;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6410;Bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae)
EVL;CZ0614053;Dáøská rašeliništì;Stanovištì;Sladkovodní stanovištì;3140;Tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek
EVL;CZ0614053;Dáøská rašeliništì;Druh;Váky;;váka jasnoskvrnná (Leucorrhinia pectoralis)
EVL;CZ0614053;Dáøská rašeliništì;Stanovištì;Vrchovištì, rašeliništì a moèály;7140;Pøechodová rašeliništì a tøasovištì
EVL;CZ0612133;Dìdkovo;Druh;Cévnaté rostliny;;støevíèník pantoflíèek (Cypripedium calceolus)
EVL;CZ0813439;Dìhylovskı potok - Štìpán;Druh;Obojivelníci;;kuòka ohnivá (Bombina bombina)
EVL;CZ0813439;Dìhylovskı potok - Štìpán;Druh;Ryby;;piskoø pruhovanı (Misgurnus fossilis)
EVL;CZ0813439;Dìhylovskı potok - Štìpán;Stanovištì;Sladkovodní stanovištì;3260;Níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion
EVL;CZ0813439;Dìhylovskı potok - Štìpán;Druh;Váky;;váka jasnoskvrnná (Leucorrhinia pectoralis)
EVL;CZ0713394;Dolní a Prostøední Svrèov;Druh;Obojivelníci;;kuòka ohnivá (Bombina bombina)
EVL;CZ0322055;Drahotínskı les;Druh;Cévnaté rostliny;;sleziník nepravı (Asplenium adulterinum)
EVL;CZ0710006;Døevohostickı les;Stanovištì;Lesy;9170;Dubohabøiny asociace Galio-Carpinetum
EVL;CZ0710006;Døevohostickı les;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6510;Extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)
EVL;CZ0523268;Dubno - Èeská Skalice;Stanovištì;Lesy;9170;Dubohabøiny asociace Galio-Carpinetum
EVL;CZ0523268;Dubno - Èeská Skalice;Stanovištì;Lesy;9,10E+01;Smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae)
EVL;CZ0523268;Dubno - Èeská Skalice;Druh;Obojivelníci;;kuòka ohnivá (Bombina bombina)
EVL;CZ0523268;Dubno - Èeská Skalice;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6410;Bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae)
EVL;CZ0213783;Felbabka;Druh;Obojivelníci;;kuòka lutobøichá (Bombina variegata)
EVL;CZ0613319;Fickù rybník;Druh;Obojivelníci;;èolek velkı (Triturus cristatus)
EVL;CZ0310070;Hadí vrch;Stanovištì;Tuholisté køoviny;5130;Formace jalovce obecného (Juniperus communis) na vøesovištích nebo vápnitıch trávnících
EVL;CZ0530037;Heme-Mıtkov;Stanovištì;Lesy;9180;Lesy svazu Tilio-Acerion na svazích, sutích a v roklích
EVL;CZ0722198;Hodòovská dolina;Druh;Cévnaté rostliny;;starèek dlouholistı moravskı (Tephroseris longifolia subsp. moravica)
EVL;CZ0713374;Horní Morava;Druh;Mihule;;mihule potoèní (Lampetra planeri)
PO;CZ0721024;Hostınské vrchy;Druh;Ptáci;;strakapoud bìlohøbetı (Dendrocopos leucotos)
PO;CZ0721024;Hostınské vrchy;Druh;Ptáci;;lejsek malı (Ficedula parva)
EVL;CZ0210010;Housina;Stanovištì;Lesy;9170;Dubohabøiny asociace Galio-Carpinetum
EVL;CZ0210010;Housina;Stanovištì;Lesy;91I0;Eurosibiøské stepní doubravy
EVL;CZ0210010;Housina;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6210;Polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia)
EVL;CZ0210172;Hrabanovská èernava;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6210;Polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia)
EVL;CZ0210172;Hrabanovská èernava;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6410;Bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae)
EVL;CZ0210172;Hrabanovská èernava;Stanovištì;Sladkovodní stanovištì;3140;Tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek
EVL;CZ0210172;Hrabanovská èernava;Stanovištì;Vrchovištì, rašeliništì a moèály;7210;Vápnitá slatiništì s maøicí pilovitou (Cladium mariscus) a druhy svazu Caricion davallianae
EVL;CZ0210172;Hrabanovská èernava;Stanovištì;Vrchovištì, rašeliništì a moèály;7230;Zásaditá slatiništì
EVL;CZ0712186;Hrdiboøické rybníky;Druh;Cévnaté rostliny;;matizna bahenní (Angelica palustris)
EVL;CZ0213023;Hrdlièka - ïánská hora;Druh;Motıli;;pøástevník kostivalovı (Euplagia quadripunctaria)
EVL;CZ0714771;Hùrka u Hranic;Druh;Netopıøi;;netopır velkı (Myotis myotis)
