typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;hodnocene_obdobi_od;hodnocene_obdobi_do;oop;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;pracoviste;ind_nadr;metodika
Druh;CZ0213791;Jezera;Bombina bombina;1188;2022-05-07;2024-06-25;Krajský úřad Středočeského kraje;32;0;50;% lokalit v dobrém stavu;špatný;neznámý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213791;Jezera;Bombina bombina;1188;2022-05-07;2024-06-25;Krajský úřad Středočeského kraje;33;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213791;Jezera;Bombina bombina;1188;2022-05-07;2024-06-25;Krajský úřad Středočeského kraje;34;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213791;Jezera;Bombina bombina;1188;2022-05-07;2024-06-25;Krajský úřad Středočeského kraje;36;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213791;Jezera;Bombina bombina;1188;2022-05-07;2024-06-25;Krajský úřad Středočeského kraje;37;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213791;Jezera;Bombina bombina;1188;2022-05-07;2024-06-25;Krajský úřad Středočeského kraje;38;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213791;Jezera;Bombina bombina;1188;2022-05-07;2024-06-25;Krajský úřad Středočeského kraje;130;100;NA;% lokalit v dobrém stavu;nehodnocen;neznámý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213791;Jezera;Bombina bombina;1188;2022-05-07;2024-06-25;Krajský úřad Středočeského kraje;131;2;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213791;Jezera;Bombina bombina;1188;2022-05-07;2024-06-25;Krajský úřad Středočeského kraje;10;NA;NA;hodnocení dílčích parametrů;dobrý;setrvalý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213028;Kalivody;Bombina bombina;1188;2022-04-27;2024-07-17;Krajský úřad Středočeského kraje;27;0;50;% lokalit v dobrém stavu;špatný;neznámý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213028;Kalivody;Bombina bombina;1188;2022-04-27;2024-07-17;Krajský úřad Středočeského kraje;21;0;NA;volající samci;nehodnocen;neznámý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213028;Kalivody;Bombina bombina;1188;2022-04-27;2024-07-17;Krajský úřad Středočeského kraje;22;0;NA;volající samci;nehodnocen;neznámý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213028;Kalivody;Bombina bombina;1188;2022-04-27;2024-07-17;Krajský úřad Středočeského kraje;80;0;50;% lokalit v dobrém stavu;špatný;neznámý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213028;Kalivody;Bombina bombina;1188;2022-04-27;2024-07-17;Krajský úřad Středočeského kraje;30;NA;50;% lokalit v dobrém stavu;neznámý;neznámý;2025-09-08;RP Střední Čechy;NA;19269
Druh;CZ0213028;Kalivody;Bombina bombina;1188;2022-04-27;2024-07-17;Krajský úřad Středočeského kraje;31;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-09-08;RP Střední Čechy;NA;19269
