ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;NAZEV_LOK;POLE;pracoviste;oop;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;ID_ND_AKCE;DATUM;CILMON;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;LIM_INDLIST;HOD_IND;STAV_IND;ID_ND_LOK
2023;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI1885;SOOS;5840b, 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;12797357, 12797328;2023-09-13;1;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;ano;1;9622104
2023;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI1885;SOOS;5840b, 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;12797357, 12797328;2023-09-13;1;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;nezaznamenána;nezaznamenána;1;9622104
2023;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI1885;SOOS;5840b, 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;12797357, 12797328;2023-09-13;1;STA_PRITOMNOSTROSTLIN;kategorie relativní početnosti;val;val;ne;lok;jednotlivě;jednotlivě, dominantně, hojně;jednotlivě;1;9622104
2025;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI3870;SOOS;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2025-08-30;2025-08-30;15305039, 15304860, 15305013;2025-08-30;1;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0;12682500
2025;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI3870;SOOS;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2025-08-30;2025-08-30;15305039, 15304860, 15305013;2025-08-30;1;CELKOVE_SUM;NA;NA;NA;NA;NA;;;3;NA;12682500
2025;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI3870;SOOS;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2025-08-30;2025-08-30;15305039, 15304860, 15305013;2025-08-30;1;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;4;0;12682500
2025;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI3870;SOOS;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2025-08-30;2025-08-30;15305039, 15304860, 15305013;2025-08-30;1;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;ano;1;12682500
2025;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI3870;SOOS;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2025-08-30;2025-08-30;15305039, 15304860, 15305013;2025-08-30;1;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;nezaznamenána;nezaznamenána;1;12682500
2025;CZ0410150;Soos;Euphydryas aurinia;Motýli;MOTYLI3870;SOOS;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2025-08-30;2025-08-30;15305039, 15304860, 15305013;2025-08-30;1;STA_PRITOMNOSTROSTLIN;kategorie relativní početnosti;val;val;ne;lok;jednotlivě;jednotlivě, dominantně, hojně;jednotlivě;1;12682500
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;NPR Soos;NPR Soos;5840b, 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;11204618, 11204619, 11204620, 11204621, 11204622, 11204625, 11204626, 11204627, 11204630;2020-08-22;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;zhoršený;0.5;7554800
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;NPR Soos;NPR Soos;5840b, 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;11204618, 11204619, 11204620, 11204621, 11204622, 11204625, 11204626, 11204627, 11204630;2020-08-22;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;2;NA;7554800
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;NPR Soos;NPR Soos;5840b, 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;11204618, 11204619, 11204620, 11204621, 11204622, 11204625, 11204626, 11204627, 11204630;2020-08-22;0;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;17;1;7554800
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;NPR Soos;NPR Soos;5840b, 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;11204618, 11204619, 11204620, 11204621, 11204622, 11204625, 11204626, 11204627, 11204630;2020-08-22;0;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;ano;1;7554800
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;NPR Soos;NPR Soos;5840b, 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;11204618, 11204619, 11204620, 11204621, 11204622, 11204625, 11204626, 11204627, 11204630;2020-08-22;0;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;nezaznamenána;neznámý;NA;7554800
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;NPR Soos;NPR Soos;5840b, 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;11204618, 11204619, 11204620, 11204621, 11204622, 11204625, 11204626, 11204627, 11204630;2020-08-22;0;STA_PRITOMNOSTROSTLIN;kategorie relativní početnosti;val;val;ne;lok;jednotlivě;jednotlivě, dominantně, hojně;neznámý;NA;7554800
2016;CZ0410150;Soos;Euphydryas aurinia;Motýli;Nová Ves u Křižovatky;Nová Ves u Křižovatky;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2016-08-01;2016-08-01;9682667, 9682668;2016-08-01;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;zhoršený;0.5;5954825
2016;CZ0410150;Soos;Euphydryas aurinia;Motýli;Nová Ves u Křižovatky;Nová Ves u Křižovatky;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2016-08-01;2016-08-01;9682667, 9682668;2016-08-01;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;2;NA;5954825
2016;CZ0410150;Soos;Euphydryas aurinia;Motýli;Nová Ves u Křižovatky;Nová Ves u Křižovatky;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2016-08-01;2016-08-01;9682667, 9682668;2016-08-01;0;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;20;1;5954825
2016;CZ0410150;Soos;Euphydryas aurinia;Motýli;Nová Ves u Křižovatky;Nová Ves u Křižovatky;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2016-08-01;2016-08-01;9682667, 9682668;2016-08-01;0;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;ano;1;5954825
