kod_chu;DRUH;KOD_LOKAL;POLE;ROK;ID_IND;SKUPINA;NAZEV_LOK;ID_ND_AKCE;DATUM;HOD_IND;TYP_IND;LIM_IND;JEDNOTKA;LIM_INDLIST;STAV_IND;KLIC;IND_GRP;UROVEN;CILMON;IND_SUM;IND_SUMKLIC;IND_SUMOST;IND_LEN;IND_LENKLIC;IND_LENOST;CELKOVE;NAZEV;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;pracoviste;oop
CZ0724121;Bombina variegata;CZ0724121;6673b;2018;CELKOVE_HODNOCENI;Obojživelníci;Jasenka - U Košutů;10523345;17679;špatný;NA;NA;NA;NA;0;NA;NA;NA;0;1;0;1;9;2;7;0;Nad Jasenkou;2018-05-28;2018-05-28;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724121;Bombina variegata;CZ0724121;6673b;2018;POP_REPROPERIOD3;Obojživelníci;Jasenka - U Košutů;10523345;17679;-Inf;min;1;rozmnožování za 3 roky;alespoň 1 rozmnožování za 3 roky;0;ano;minmax;lok;0;1;0;1;9;2;7;0;Nad Jasenkou;2018-05-28;2018-05-28;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724121;Bombina variegata;CZ0724121;6673b;2018;STA_POKRVEGETACE;Obojživelníci;Jasenka - U Košutů;10523345;17679;neznámý;val;0;NA;0, 0-25 %, 1-10 %, 11-25 %, 26-50 %, 1-25 %, nejvýš 50 NA;NA;ne;val;lok;0;1;0;1;9;2;7;0;Nad Jasenkou;2018-05-28;2018-05-28;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724121;Bombina variegata;CZ0724121;6673b;2018;STA_RYBY;Obojživelníci;Jasenka - U Košutů;10523345;17679;ne;val;ne;zaznamenán nadměrný tlak ryb;ne;1;ne;val;lok;0;1;0;1;9;2;7;0;Nad Jasenkou;2018-05-28;2018-05-28;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724121;Bombina variegata;CZ0724121;6673b;2018;STA_UHYNOBOJZIVELNIK;Obojživelníci;Jasenka - U Košutů;10523345;17679;neznámý;val;ne;NA;ne;NA;ne;val;lok;0;1;0;1;9;2;7;0;Nad Jasenkou;2018-05-28;2018-05-28;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724121;Bombina variegata;CZ0724121;6673b;2018;STA_ZASTINENIHLADINA;Obojživelníci;Jasenka - U Košutů;10523345;17679;neznámý;val;0-25 %;NA;0-25 %, 26-50 %, 51-75 %, nejvýš 75 NA;NA;ne;val;lok;0;1;0;1;9;2;7;0;Nad Jasenkou;2018-05-28;2018-05-28;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724121;Bombina variegata;CZ0724121;6673b;2018;STA_ZTRATABIO;Obojživelníci;Jasenka - U Košutů;10523345;17679;ne;val;ne;zaznamenána ztráta vodních biotopů;ne;1;ne;val;lok;0;1;0;1;9;2;7;0;Nad Jasenkou;2018-05-28;2018-05-28;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0722199;Bombina variegata;CZ0722199;6874d;2019;CELKOVE_HODNOCENI;Obojživelníci;Nedašov;10633048;18059;špatný;NA;NA;NA;NA;0;NA;NA;NA;0;1;0;1;9;2;7;0;Hrušová dolina;2019-06-12;2019-06-12;RP SCHKO Bílé Karpaty;AOPK ČR - RP SCHKO Bílé Karpaty
CZ0722199;Bombina variegata;CZ0722199;6874d;2019;POP_REPROPERIOD3;Obojživelníci;Nedašov;10633048;18059;-Inf;min;1;rozmnožování za 3 roky;alespoň 1 rozmnožování za 3 roky;0;ano;minmax;lok;0;1;0;1;9;2;7;0;Hrušová dolina;2019-06-12;2019-06-12;RP SCHKO Bílé Karpaty;AOPK ČR - RP SCHKO Bílé Karpaty
CZ0722199;Bombina variegata;CZ0722199;6874d;2019;STA_POKRVEGETACE;Obojživelníci;Nedašov;10633048;18059;neznámý;val;0;NA;0, 0-25 %, 1-10 %, 11-25 %, 26-50 %, 1-25 %, nejvýš 50 NA;NA;ne;val;lok;0;1;0;1;9;2;7;0;Hrušová dolina;2019-06-12;2019-06-12;RP SCHKO Bílé Karpaty;AOPK ČR - RP SCHKO Bílé Karpaty
CZ0722199;Bombina variegata;CZ0722199;6874d;2019;STA_RYBY;Obojživelníci;Nedašov;10633048;18059;ne;val;ne;zaznamenán nadměrný tlak ryb;ne;1;ne;val;lok;0;1;0;1;9;2;7;0;Hrušová dolina;2019-06-12;2019-06-12;RP SCHKO Bílé Karpaty;AOPK ČR - RP SCHKO Bílé Karpaty
CZ0722199;Bombina variegata;CZ0722199;6874d;2019;STA_UHYNOBOJZIVELNIK;Obojživelníci;Nedašov;10633048;18059;neznámý;val;ne;NA;ne;NA;ne;val;lok;0;1;0;1;9;2;7;0;Hrušová dolina;2019-06-12;2019-06-12;RP SCHKO Bílé Karpaty;AOPK ČR - RP SCHKO Bílé Karpaty
CZ0722199;Bombina variegata;CZ0722199;6874d;2019;STA_ZASTINENIHLADINA;Obojživelníci;Nedašov;10633048;18059;neznámý;val;0-25 %;NA;0-25 %, 26-50 %, 51-75 %, nejvýš 75 NA;NA;ne;val;lok;0;1;0;1;9;2;7;0;Hrušová dolina;2019-06-12;2019-06-12;RP SCHKO Bílé Karpaty;AOPK ČR - RP SCHKO Bílé Karpaty
CZ0722199;Bombina variegata;CZ0722199;6874d;2019;STA_ZTRATABIO;Obojživelníci;Nedašov;10633048;18059;ne;val;ne;zaznamenána ztráta vodních biotopů;ne;1;ne;val;lok;0;1;0;1;9;2;7;0;Hrušová dolina;2019-06-12;2019-06-12;RP SCHKO Bílé Karpaty;AOPK ČR - RP SCHKO Bílé Karpaty
CZ0724089;Bombina variegata;CZ0724089;6377d;2019;CELKOVE_HODNOCENI;Obojživelníci;Guty - pod gutským vrškem, Guty - pod G.vrškem 2, Oldřichovice u Třince - řeka směr G.Peklo, Guty - kaluž;10639702, 10639703, 10731962, 10736783;18136;špatný;NA;NA;NA;NA;0;NA;NA;NA;0;25;0;25;9;2;7;0;Beskydy;2014-05-14;2019-08-28;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské
CZ0724089;Bombina variegata;CZ0724089;6377d;2019;POP_REPROPERIOD3;Obojživelníci;Guty - pod gutským vrškem, Guty - pod G.vrškem 2, Oldřichovice u Třince - řeka směr G.Peklo, Guty - kaluž;10639702, 10639703, 10731962, 10736783;18136;-Inf;min;1;rozmnožování za 3 roky;alespoň 1 rozmnožování za 3 roky;0;ano;minmax;lok;0;25;0;25;9;2;7;0;Beskydy;2014-05-14;2019-08-28;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské
CZ0724089;Bombina variegata;CZ0724089;6377d;2019;STA_POKRVEGETACE;Obojživelníci;Guty - pod gutským vrškem, Guty - pod G.vrškem 2, Oldřichovice u Třince - řeka směr G.Peklo, Guty - kaluž;10639702, 10639703, 10731962, 10736783;18136;neznámý;val;0;NA;0, 0-25 %, 1-10 %, 11-25 %, 26-50 %, 1-25 %, nejvýš 50 NA;NA;ne;val;lok;0;25;0;25;9;2;7;0;Beskydy;2014-05-14;2019-08-28;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské
CZ0724089;Bombina variegata;CZ0724089;6377d;2019;STA_RYBY;Obojživelníci;Guty - pod gutským vrškem, Guty - pod G.vrškem 2, Oldřichovice u Třince - řeka směr G.Peklo, Guty - kaluž;10639702, 10639703, 10731962, 10736783;18136;ne;val;ne;zaznamenán nadměrný tlak ryb;ne;1;ne;val;lok;0;25;0;25;9;2;7;0;Beskydy;2014-05-14;2019-08-28;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské
CZ0724089;Bombina variegata;CZ0724089;6377d;2019;STA_UHYNOBOJZIVELNIK;Obojživelníci;Guty - pod gutským vrškem, Guty - pod G.vrškem 2, Oldřichovice u Třince - řeka směr G.Peklo, Guty - kaluž;10639702, 10639703, 10731962, 10736783;18136;neznámý;val;ne;NA;ne;NA;ne;val;lok;0;25;0;25;9;2;7;0;Beskydy;2014-05-14;2019-08-28;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské
CZ0724089;Bombina variegata;CZ0724089;6377d;2019;STA_ZASTINENIHLADINA;Obojživelníci;Guty - pod gutským vrškem, Guty - pod G.vrškem 2, Oldřichovice u Třince - řeka směr G.Peklo, Guty - kaluž;10639702, 10639703, 10731962, 10736783;18136;neznámý;val;0-25 %;NA;0-25 %, 26-50 %, 51-75 %, nejvýš 75 NA;NA;ne;val;lok;0;25;0;25;9;2;7;0;Beskydy;2014-05-14;2019-08-28;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské
CZ0724089;Bombina variegata;CZ0724089;6377d;2019;STA_ZTRATABIO;Obojživelníci;Guty - pod gutským vrškem, Guty - pod G.vrškem 2, Oldřichovice u Třince - řeka směr G.Peklo, Guty - kaluž;10639702, 10639703, 10731962, 10736783;18136;ne;val;ne;zaznamenána ztráta vodních biotopů;ne;1;ne;val;lok;0;25;0;25;9;2;7;0;Beskydy;2014-05-14;2019-08-28;RP Moravskoslezské;AOPK ČR - RP Moravskoslezské
