"ROK","kod_chu","NAZEV","DRUH","SKUPINA","KOD_LOKAL","NAZEV_LOK","POLE","pracoviste","oop","HODNOCENE_OBDOBI_OD","HODNOCENE_OBDOBI_DO","ID_ND_AKCE","DATUM","CILMON","ID_IND","JEDNOTKA","TYP_IND","IND_GRP","KLIC","UROVEN","LIM_IND","LIM_INDLIST","HOD_IND","STAV_IND"
2024,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","Radbuza","Radbuza - Svrno","6442b, 6443a","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",NA,NA,"13411960",2024-10-22,1,"STA_MIGBARPOCET",NA,"max","minmax","ne","lok","1","nejvıš 1 NA","neznámı",NA
2024,"CZ0323165","Radbuza","Lampetra planeri","Ryby a mihule","Radbuza","Radbuza - Svrno","6442b, 6443a","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",NA,NA,"13411960",2024-10-22,1,"STA_MIGBARVYS","cm","max","minmax","ne","lok","5","nejvıš 5 cm","neznámı",NA
2022,"CZ0323166","Radbuza - Novı Dvùr - Pila","Lampetra planeri","Ryby a mihule","CZ0323166","Radbuza - Mostek","6442c","RP SCHKO Èeskı les","AOPK ÈR - RP SCHKO Èeskı les",2015-10-25,2022-05-04,"11915178",2022-05-04,0,"CELKOVE_HODNOCENI",NA,NA,NA,NA,"lok",NA,NA,"špatnı",0
2022,"CZ0323166","Radbuza - Novı Dvùr - Pila","Lampetra planeri","Ryby a mihule","CZ0323166","Radbuza - Mostek","6442c","RP SCHKO Èeskı les","AOPK ÈR - RP SCHKO Èeskı les",2015-10-25,2022-05-04,"11915178",2022-05-04,0,"CELKOVE_SUM",NA,NA,NA,NA,NA,"","","0",NA
2022,"CZ0323166","Radbuza - Novı Dvùr - Pila","Lampetra planeri","Ryby a mihule","CZ0323166","Radbuza - Mostek","6442c","RP SCHKO Èeskı les","AOPK ÈR - RP SCHKO Èeskı les",2015-10-25,2022-05-04,"11915178",2022-05-04,0,"POP_DYN","%","max","minmax","ano","lok","50","nejvıš 50 %","neznámı",NA
2022,"CZ0323166","Radbuza - Novı Dvùr - Pila","Lampetra planeri","Ryby a mihule","CZ0323166","Radbuza - Mostek","6442c","RP SCHKO Èeskı les","AOPK ÈR - RP SCHKO Èeskı les",2015-10-25,2022-05-04,"11915178",2022-05-04,0,"POP_VITALITA","kategorie","min","minmax","ano","lok","3","alespoò 3 kategorie","neznámı",NA
2022,"CZ0323166","Radbuza - Novı Dvùr - Pila","Lampetra planeri","Ryby a mihule","CZ0323166","Radbuza - Mostek","6442c","RP SCHKO Èeskı les","AOPK ÈR - RP SCHKO Èeskı les",2015-10-25,2022-05-04,"11915178",2022-05-04,0,"STA_MIGBARPOCET",NA,"max","minmax","ne","lok","1","nejvıš 1 NA","neznámı",NA
2022,"CZ0323166","Radbuza - Novı Dvùr - Pila","Lampetra planeri","Ryby a mihule","CZ0323166","Radbuza - Mostek","6442c","RP SCHKO Èeskı les","AOPK ÈR - RP SCHKO Èeskı les",2015-10-25,2022-05-04,"11915178",2022-05-04,0,"STA_MIGBARVYS","cm","max","minmax","ne","lok","5","nejvıš 5 cm","neznámı",NA
2017,"CZ0323812","Klabava","Lampetra planeri","Ryby a mihule","CZ0323812","Klabava II - Strašice_pod mostem","6248c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2011-11-04,2017-10-10,"10148530",2017-10-10,1,"CELKOVE_HODNOCENI",NA,NA,NA,NA,"lok",NA,NA,"špatnı",0
2017,"CZ0323812","Klabava","Lampetra planeri","Ryby a mihule","CZ0323812","Klabava II - Strašice_pod mostem","6248c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2011-11-04,2017-10-10,"10148530",2017-10-10,1,"CELKOVE_SUM",NA,NA,NA,NA,NA,"","","0",NA
2017,"CZ0323812","Klabava","Lampetra planeri","Ryby a mihule","CZ0323812","Klabava II - Strašice_pod mostem","6248c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2011-11-04,2017-10-10,"10148530",2017-10-10,1,"POP_DYN","%","max","minmax","ano","lok","50","nejvıš 50 %","neznámı",NA
2017,"CZ0323812","Klabava","Lampetra planeri","Ryby a mihule","CZ0323812","Klabava II - Strašice_pod mostem","6248c","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2011-11-04,2017-10-10,"10148530",2017-10-10,1,"POP_VITALITA","kategorie","min","minmax","ano","lok","3","alespoò 3 kategorie","neznámı",NA
