typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;hodnocene_obdobi_od;hodnocene_obdobi_do;oop;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;pracoviste;metodika
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;34;89.47;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;35;52.63;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;36;94.74;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;38;100;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;130;47.37;NA;% lokalit v dobrém stavu;nehodnocen;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;10;NA;NA;hodnocení dílčích parametrů;dobrý;zlepšující se;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Triturus cristatus;1166;2022-04-23;2024-11-12;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;131;19;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;27;26.92;30;% lokalit v dobrém stavu;špatný;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;21;26;NA;volající samci;nehodnocen;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;22;140;NA;volající samci;nehodnocen;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;80;57.14;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;30;NA;30;% lokalit v dobrém stavu;neznámý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;31;92.31;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;32;84.62;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;33;100;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;34;92.31;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;36;96.15;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
