"kod_chu","DRUH","KOD_LOKAL","POLE","ROK","ID_IND","SKUPINA","NAZEV_LOK","ID_ND_AKCE","DATUM","HOD_IND","TYP_IND","LIM_IND","JEDNOTKA","LIM_INDLIST","STAV_IND","KLIC","IND_GRP","UROVEN","CILMON","IND_SUM","IND_SUMKLIC","IND_SUMOST","IND_LEN","IND_LENKLIC","IND_LENOST","CELKOVE","NAZEV","HODNOCENE_OBDOBI_OD","HODNOCENE_OBDOBI_DO","pracoviste","oop"
"CZ0413193","Leucorrhinia pectoralis","CZ0413193","5839b","2021","STA_ZAZEMNENI","Váky","PR U sedmi rybníkù, Velkı Vydımaè","11493224","2021-06-17","neznámı","max","60","%","nejvıš 60 %",NA,"ne","minmax","lok","0","1","1","0",3,1,2,0.5,"U sedmi rybníkù",2018-06-04,2021-06-17,"RP SCHKO Slavkovskı les","Krajskı úøad Karlovarského kraje"
"CZ0724429","Carabus variolosus","631","6572d","2021","CELKOVE_HODNOCENI","Brouci","PR Kelèskı Javorník 631","11493588","2021-06-19","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","1","1","0",3,3,0,0,"Hostınské vrchy",2021-06-19,2021-06-19,"RP SCHKO Bílé Karpaty","Krajskı úøad Zlínského kraje"
"CZ0724429","Carabus variolosus","631","6572d","2021","POP_PRESENCE","Brouci","PR Kelèskı Javorník 631","11493588","2021-06-19","ano","val","ano","pøítomnost druhu","ano",1,"ano","val","lok","0","1","1","0",3,3,0,0,"Hostınské vrchy",2021-06-19,2021-06-19,"RP SCHKO Bílé Karpaty","Krajskı úøad Zlínského kraje"
"CZ0724429","Carabus variolosus","631","6572d","2021","STA_MRTDREVO","Brouci","PR Kelèskı Javorník 631","11493588","2021-06-19","neznámı","val","jednotlivé kmeny","stupnice relativní škály","jednotlivé kmeny, hojnì",NA,"ano","val","lok","0","1","1","0",3,3,0,0,"Hostınské vrchy",2021-06-19,2021-06-19,"RP SCHKO Bílé Karpaty","Krajskı úøad Zlínského kraje"
"CZ0724429","Carabus variolosus","631","6572d","2021","STA_TEKVODA","Brouci","PR Kelèskı Javorník 631","11493588","2021-06-19","neznámı","val","ano","ano/ne","ano",NA,"ano","val","lok","0","1","1","0",3,3,0,0,"Hostınské vrchy",2021-06-19,2021-06-19,"RP SCHKO Bílé Karpaty","Krajskı úøad Zlínského kraje"
"CZ0720190","Rhysodes sulcatus","1429","6672c","2021","CELKOVE_HODNOCENI","Brouci","PP Ondøejovsko 1429","11493830","2021-05-26","zhoršenı",NA,NA,NA,NA,0.5,NA,NA,NA,"0","1","1","0",3,1,2,0.5,"Ondøejovsko",2021-05-26,2021-05-26,"RP SCHKO Bílé Karpaty","Krajskı úøad Zlínského kraje"
"CZ0720190","Rhysodes sulcatus","1429","6672c","2021","POP_PRESENCE","Brouci","PP Ondøejovsko 1429","11493830","2021-05-26","ano","val","ano",NA,"ano",1,"ano","val","lok","0","1","1","0",3,1,2,0.5,"Ondøejovsko",2021-05-26,2021-05-26,"RP SCHKO Bílé Karpaty","Krajskı úøad Zlínského kraje"
"CZ0720190","Rhysodes sulcatus","1429","6672c","2021","STA_VHSTROMK","Brouci","PP Ondøejovsko 1429","11493830","2021-05-26","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","1","1","0",3,1,2,0.5,"Ondøejovsko",2021-05-26,2021-05-26,"RP SCHKO Bílé Karpaty","Krajskı úøad Zlínského kraje"
"CZ0720190","Rhysodes sulcatus","1429","6672c","2021","STA_VHSTROMN","Brouci","PP Ondøejovsko 1429","11493830","2021-05-26","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","1","1","0",3,1,2,0.5,"Ondøejovsko",2021-05-26,2021-05-26,"RP SCHKO Bílé Karpaty","Krajskı úøad Zlínského kraje"
"CZ0624099","Cerambyx cerdo","CZ0624099","7166d","2021","CELKOVE_HODNOCENI","Brouci","Lednice na Moravì, Lednice na Moravì - park, Lednice","11493847, 11494312, 11601078","2021-07-31","zhoršenı",NA,NA,NA,NA,0.5,NA,NA,NA,"0","2","2","0",3,1,2,0.5,"Niva Dyje",2012-01-01,2021-07-31,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624099","Cerambyx cerdo","CZ0624099","7166d","2021","POP_PRESENCE","Brouci","Lednice na Moravì, Lednice na Moravì - park, Lednice","11493847, 11494312, 11601078","2021-07-31","ano","val","ano",NA,"ano",1,"ano","val","lok","0","2","2","0",3,1,2,0.5,"Niva Dyje",2012-01-01,2021-07-31,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624099","Cerambyx cerdo","CZ0624099","7166d","2021","STA_VHSTROMK","Brouci","Lednice na Moravì, Lednice na Moravì - park, Lednice","11493847, 11494312, 11601078","2021-07-31","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","2","2","0",3,1,2,0.5,"Niva Dyje",2012-01-01,2021-07-31,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624099","Cerambyx cerdo","CZ0624099","7166d","2021","STA_VHSTROMN","Brouci","Lednice na Moravì, Lednice na Moravì - park, Lednice","11493847, 11494312, 11601078","2021-07-31","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","2","2","0",3,1,2,0.5,"Niva Dyje",2012-01-01,2021-07-31,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0513506","Lycaena dispar","Pertoltice pod Ralskem","5354a","2021","CELKOVE_HODNOCENI","Motıli","Pertoltice pod Ralskem","11495174","2021-06-21","zhoršenı",NA,NA,NA,NA,0.5,NA,NA,NA,"0","1","1","0",3,1,2,0.5,"Horní Plouènice",2021-06-21,2021-06-21,"RP SCHKO Kokoøínsko - Máchùv kraj","AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj, Krajskı úøad Libereckého kraje"
"CZ0513506","Lycaena dispar","Pertoltice pod Ralskem","5354a","2021","POP_PRESENCE","Motıli","Pertoltice pod Ralskem","11495174","2021-06-21","ano","val","ano",NA,"ano",1,"ano","val","lok","0","1","1","0",3,1,2,0.5,"Horní Plouènice",2021-06-21,2021-06-21,"RP SCHKO Kokoøínsko - Máchùv kraj","AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj, Krajskı úøad Libereckého kraje"
"CZ0513506","Lycaena dispar","Pertoltice pod Ralskem","5354a","2021","STA_LIKVIDACE","Motıli","Pertoltice pod Ralskem","11495174","2021-06-21","neznámı","val","nezaznamenána",NA,"nezaznamenána",NA,"ne","val","lok","0","1","1","0",3,1,2,0.5,"Horní Plouènice",2021-06-21,2021-06-21,"RP SCHKO Kokoøínsko - Máchùv kraj","AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj, Krajskı úøad Libereckého kraje"
"CZ0513506","Lycaena dispar","Pertoltice pod Ralskem","5354a","2021","STA_PRITOMNOSTROSTLIN","Motıli","Pertoltice pod Ralskem","11495174","2021-06-21","neznámı","val","jednotlivì",NA,"jednotlivì, dominantnì, hojnì",NA,"ne","val","lok","0","1","1","0",3,1,2,0.5,"Horní Plouènice",2021-06-21,2021-06-21,"RP SCHKO Kokoøínsko - Máchùv kraj","AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj, Krajskı úøad Libereckého kraje"
"CZ0524049","Ophiogomphus cecilia","CZ0524049","5860b","2021","CELKOVE_HODNOCENI","Váky","Vysoká nad Labem","11496907","2021-06-24","zhoršenı",NA,NA,NA,NA,0.5,NA,NA,NA,"0","1","1","0",3,1,2,0.5,"Orlice a Labe",2013-10-07,2021-06-24,"RP Vıchodní Èechy","Krajskı úøad Královéhradeckého kraje, Krajskı úøad Pardubického kraje"
"CZ0524049","Ophiogomphus cecilia","CZ0524049","5860b","2021","POP_PRESENCE","Váky","Vysoká nad Labem","11496907","2021-06-24","ano","val","ano",NA,"ano",1,"ano","val","lok","0","1","1","0",3,1,2,0.5,"Orlice a Labe",2013-10-07,2021-06-24,"RP Vıchodní Èechy","Krajskı úøad Královéhradeckého kraje, Krajskı úøad Pardubického kraje"
"CZ0524049","Ophiogomphus cecilia","CZ0524049","5860b","2021","STA_POKRYVNOSTDREVIN","Váky","Vysoká nad Labem","11496907","2021-06-24","neznámı","max","50","%","nejvıš 50 %",NA,"ne","minmax","lok","0","1","1","0",3,1,2,0.5,"Orlice a Labe",2013-10-07,2021-06-24,"RP Vıchodní Èechy","Krajskı úøad Královéhradeckého kraje, Krajskı úøad Pardubického kraje"
"CZ0524049","Ophiogomphus cecilia","CZ0524049","5860b","2021","STA_ZAZEMNENI","Váky","Vysoká nad Labem","11496907","2021-06-24","neznámı","val","ménì ne 10 %",NA,"ménì ne 10 %",NA,"ne","val","lok","0","1","1","0",3,1,2,0.5,"Orlice a Labe",2013-10-07,2021-06-24,"RP Vıchodní Èechy","Krajskı úøad Královéhradeckého kraje, Krajskı úøad Pardubického kraje"
