"SITECODE";"NAZEV";"HABITAT_CODE";"indikator";"value"
5874;"Hodonínská Dúbrava";"91I0";"PASEKY_AREA_PERC";"5.91"
5874;"Hodonínská Dúbrava";"91I0";"DEGRAD_AREA_HA";"91.8883"
5874;"Hodonínská Dúbrava";"91I0";"DEGRAD_AREA_PERC";"21.0072"
5874;"Hodonínská Dúbrava";"91I0";"PERC_0";"0"
5874;"Hodonínská Dúbrava";"91I0";"PERC_1";"35.8358"
5874;"Hodonínská Dúbrava";"91I0";"PERC_2";"58.2542"
5874;"Hodonínská Dúbrava";"91I0";"DATE_MIN";"2007-06-03"
5874;"Hodonínská Dúbrava";"91I0";"DATE_MAX";"2024-10-15"
2213;"Tøtìnské stránì";"6210";"ROZLOHA";"4.548"
2213;"Tøtìnské stránì";"6210";"KVALITA";"1.3168"
2213;"Tøtìnské stránì";"6210";"TYPICKE_DRUHY";"1.3168"
2213;"Tøtìnské stránì";"6210";"REPRE";"2"
2213;"Tøtìnské stránì";"6210";"REPRE_SDF";"1.3168"
2213;"Tøtìnské stránì";"6210";"CONSERVATION";"1.3168"
2213;"Tøtìnské stránì";"6210";"DEGREE_OF_CONSERVATION";"100"
2213;"Tøtìnské stránì";"6210";"MRTVE_DREVO";NA
2213;"Tøtìnské stránì";"6210";"KALAMITA_POLOM";NA
2213;"Tøtìnské stránì";"6210";"EVL_AREA_PERC";"35.0032"
2213;"Tøtìnské stránì";"6210";"GOOD_DOC_AREA_HA";"4.548"
2213;"Tøtìnské stránì";"6210";"W_AREA_HA";"0"
2213;"Tøtìnské stránì";"6210";"W_AREA_PERC";"0"
2213;"Tøtìnské stránì";"6210";"PASEKY_AREA_HA";NA
2213;"Tøtìnské stránì";"6210";"PASEKY_AREA_PERC";NA
2213;"Tøtìnské stránì";"6210";"DEGRAD_AREA_HA";"0"
2213;"Tøtìnské stránì";"6210";"DEGRAD_AREA_PERC";"0"
2213;"Tøtìnské stránì";"6210";"PERC_0";"0"
2213;"Tøtìnské stránì";"6210";"PERC_1";"0"
2213;"Tøtìnské stránì";"6210";"PERC_2";"100"
2213;"Tøtìnské stránì";"6210";"DATE_MIN";"2013-07-16"
2213;"Tøtìnské stránì";"6210";"DATE_MAX";"2013-07-16"
2213;"Tøtìnské stránì";"1340";"ROZLOHA";"0.2891"
2213;"Tøtìnské stránì";"1340";"KVALITA";"2"
2213;"Tøtìnské stránì";"1340";"TYPICKE_DRUHY";"2"
2213;"Tøtìnské stránì";"1340";"REPRE";"2"
2213;"Tøtìnské stránì";"1340";"REPRE_SDF";"2"
2213;"Tøtìnské stránì";"1340";"CONSERVATION";"2"
2213;"Tøtìnské stránì";"1340";"DEGREE_OF_CONSERVATION";"100"
2213;"Tøtìnské stránì";"1340";"MRTVE_DREVO";NA
2213;"Tøtìnské stránì";"1340";"KALAMITA_POLOM";NA
2213;"Tøtìnské stránì";"1340";"EVL_AREA_PERC";"2.225"
2213;"Tøtìnské stránì";"1340";"GOOD_DOC_AREA_HA";"0.2891"
2213;"Tøtìnské stránì";"1340";"W_AREA_HA";"0"
2213;"Tøtìnské stránì";"1340";"W_AREA_PERC";"0"
2213;"Tøtìnské stránì";"1340";"PASEKY_AREA_HA";NA
2213;"Tøtìnské stránì";"1340";"PASEKY_AREA_PERC";NA
2213;"Tøtìnské stránì";"1340";"DEGRAD_AREA_HA";"0"
2213;"Tøtìnské stránì";"1340";"DEGRAD_AREA_PERC";"0"
2213;"Tøtìnské stránì";"1340";"PERC_0";"0"
2213;"Tøtìnské stránì";"1340";"PERC_1";"0"
2213;"Tøtìnské stránì";"1340";"PERC_2";"100"
2213;"Tøtìnské stránì";"1340";"DATE_MIN";"2013-07-16"
2213;"Tøtìnské stránì";"1340";"DATE_MAX";"2013-07-16"
