"TYP_CHU";"SITECODE";"HABITAT_CODE";"ROZLOHA_PASEKY";"ROZLOHA_HOLINY";"POCET_SEGMENTU_PASEKY"
"EVL";"CZ0210704";"6190";NA;NA;NA
"EVL";"CZ0210704";"40A0";NA;NA;NA
"EVL";"CZ0310032";"3260";NA;NA;NA
"EVL";"CZ0310032";"8220";NA;NA;NA
"EVL";"CZ0310610";"7120";NA;NA;NA
"EVL";"CZ0310610";"91D0";5,858585883675;5,20627280357117;3
"EVL";"CZ0810001";"6510";NA;NA;NA
"EVL";"CZ0810001";"7220";NA;NA;NA
"EVL";"CZ0810001";"9180";5,41563023310437e-05;0;16
"EVL";"CZ0424031";"3260";NA;NA;NA
"EVL";"CZ0424031";"4030";NA;NA;NA
"EVL";"CZ0424031";"6230";NA;NA;NA
"EVL";"CZ0424031";"6510";NA;NA;NA
"EVL";"CZ0424031";"8160";NA;NA;NA
"EVL";"CZ0424031";"8220";NA;NA;NA
"EVL";"CZ0424031";"8310";NA;NA;NA
"EVL";"CZ0424031";"9110";274,629364136415;237,908919317783;230
"EVL";"CZ0424031";"9130";0,895678991815693;0;14
"EVL";"CZ0424031";"9180";0,340228422685381;0;8
"EVL";"CZ0424031";"9410";5,22447198546762;0;32
"EVL";"CZ0520038";"9170";9,62185938114757;0;27
"EVL";"CZ0520038";"9190";0,494572223396077;0;3
"EVL";"CZ0620002";"6210";NA;NA;NA
"EVL";"CZ0620002";"6240";NA;NA;NA
"EVL";"CZ0620002";"6210p";NA;NA;NA
"EVL";"CZ0210150";"7220";NA;NA;NA
"EVL";"CZ0210150";"9170";0,518779672650679;0;2
"EVL";"CZ0310630";"3140";NA;NA;NA
"EVL";"CZ0620421";"91G0";27,8489714442337;6,43073555944218;45
"EVL";"CZ0614053";"3140";NA;NA;NA
"EVL";"CZ0614053";"6410";NA;NA;NA
"EVL";"CZ0614053";"7140";NA;NA;NA
"EVL";"CZ0614053";"9410";7,73738643234392;6,72603565546563;4
"EVL";"CZ0614053";"91D0";6,37295986201311;5,70337335083133;3
"EVL";"CZ0813439";"3260";NA;NA;NA
"EVL";"CZ0420069";"91I0";0;0;0
"EVL";"CZ0624104";"6190";NA;NA;NA
"EVL";"CZ0624104";"6210";NA;NA;NA
"EVL";"CZ0624104";"6240";NA;NA;NA
"EVL";"CZ0624104";"8160";NA;NA;NA
"EVL";"CZ0624104";"8210";NA;NA;NA
"EVL";"CZ0624104";"9180";4,68107123461973;2,49015553855023;6
"EVL";"CZ0624104";"91G0";0,422916508032565;0;2
"EVL";"CZ0624104";"91H0";0;0;0
"EVL";"CZ0620414";"6230";NA;NA;NA
"EVL";"CZ0424139";"91F0";1,83346877829635;0;6
"EVL";"CZ0534052";"3260";NA;NA;NA
"EVL";"CZ0610514";"3140";NA;NA;NA
"EVL";"CZ0610514";"6230";NA;NA;NA
"EVL";"CZ0424125";"3150";NA;NA;NA
"EVL";"CZ0424125";"3260";NA;NA;NA
"EVL";"CZ0424125";"5130";NA;NA;NA
"EVL";"CZ0424125";"6210";NA;NA;NA
"EVL";"CZ0424125";"6230";NA;NA;NA
"EVL";"CZ0424125";"6430";NA;NA;NA
"EVL";"CZ0424125";"6510";NA;NA;NA
"EVL";"CZ0424125";"8160";NA;NA;NA
"EVL";"CZ0424125";"9130";16,442211955612;1,42413044796072;72
"EVL";"CZ0424125";"9180";12,3174807498112;3,19574774506973;58
"EVL";"CZ0424125";"40A0";NA;NA;NA
"EVL";"CZ0424125";"91E0";2,29288699783864;0;25
"EVL";"CZ0424125";"91I0";2,50624774035859;1,32555528109718;8
"EVL";"CZ0610030";"3150";NA;NA;NA
"EVL";"CZ0623799";"91F0";6,21027815754687;4,36694727855013;5
"EVL";"CZ0710006";"6510";NA;NA;NA
"EVL";"CZ0710006";"9170";2,35989956467016;0;12
"EVL";"CZ0523268";"6410";NA;NA;NA
"EVL";"CZ0523268";"9170";0;0;0
"EVL";"CZ0523268";"91E0";0;0;0
"EVL";"CZ0622218";"6210";NA;NA;NA
"EVL";"CZ0622218";"6250";NA;NA;NA
"EVL";"CZ0622218";"40A0";NA;NA;NA
"EVL";"CZ0310080";"7140";NA;NA;NA
"EVL";"CZ0310080";"7150";NA;NA;NA
"EVL";"CZ0620003";"6210";NA;NA;NA
"EVL";"CZ0210101";"3130";NA;NA;NA
"EVL";"CZ0210101";"3150";NA;NA;NA
"EVL";"CZ0210101";"6410";NA;NA;NA
"EVL";"CZ0210101";"6510";NA;NA;NA
"EVL";"CZ0210101";"7230";NA;NA;NA
"EVL";"CZ0210101";"9170";124,499251736607;18,2972386776392;249
"EVL";"CZ0210101";"9190";15,2501513591673;3,6936385248673;49
"EVL";"CZ0210101";"91E0";0,672534132168489;0;4
"EVL";"CZ0210101";"91H0";1,37181331118694;0;7
"EVL";"CZ0210101";"91I0";0,118445950585417;0;1
"EVL";"CZ0420044";"6210";NA;NA;NA
"EVL";"CZ0310001";"9110";1,21815580813669;0;11
"EVL";"CZ0310001";"9130";0,000440303391600028;0;1
"EVL";"CZ0620004";"4030";NA;NA;NA
"EVL";"CZ0620004";"40A0";NA;NA;NA
"EVL";"CZ0620004";"6210p";NA;NA;NA
"EVL";"CZ0420074";"7110";NA;NA;NA
"EVL";"CZ0420074";"7140";NA;NA;NA
"EVL";"CZ0420074";"91D0";0,265922664358586;0;2
"EVL";"CZ0610025";"9130";0,479949723527366;0;8
"EVL";"CZ0610025";"9170";0,192405627768087;0;6
"EVL";"CZ0714084";"8220";NA;NA;NA
"EVL";"CZ0714084";"9110";3,68020582947837;0;8
"EVL";"CZ0714084";"9130";9,41019069261235;0;38
"EVL";"CZ0310070";"5130";NA;NA;NA
"EVL";"CZ0610516";"6230";NA;NA;NA
"EVL";"CZ0524050";"3150";NA;NA;NA
"EVL";"CZ0524050";"9170";9,16114774157126;0;22
"EVL";"CZ0320030";"9110";8,51986999787099;1,25826165479254;17
"EVL";"CZ0320030";"9180";0;0;0
"EVL";"CZ0620415";"3140";NA;NA;NA
"EVL";"CZ0610022";"6410";NA;NA;NA
"EVL";"CZ0110049";"4030";NA;NA;NA
"EVL";"CZ0530037";"9180";0,273996117010117;0;2
"EVL";"CZ0313098";"3160";NA;NA;NA
"EVL";"CZ0313098";"7140";NA;NA;NA
"EVL";"CZ0620418";"3130";NA;NA;NA
"EVL";"CZ0810423";"9170";0;0;0
"EVL";"CZ0810423";"9190";0;0;0
"EVL";"CZ0612135";"3130";NA;NA;NA
"EVL";"CZ0624070";"2330";NA;NA;NA
"EVL";"CZ0624070";"6260";NA;NA;NA
"EVL";"CZ0624070";"91E0";5,85707031706694;1,01351985481763;12
"EVL";"CZ0624070";"91G0";12,2887165725026;2,35161437275023;29
"EVL";"CZ0624070";"91I0";20,8880532629018;9,75445524540299;38
"EVL";"CZ0620005";"6210";NA;NA;NA
"EVL";"CZ0620005";"6210p";NA;NA;NA
"EVL";"CZ0620005";"91G0";0;0;0
"EVL";"CZ0420007";"6210";NA;NA;NA
"EVL";"CZ0420007";"9170";0;0;0
"EVL";"CZ0420007";"91H0";0;0;0
"EVL";"CZ0424038";"6190";NA;NA;NA
"EVL";"CZ0424038";"6210";NA;NA;NA
"EVL";"CZ0424038";"6510";NA;NA;NA
"EVL";"CZ0424038";"8220";NA;NA;NA
"EVL";"CZ0424038";"8230";NA;NA;NA
"EVL";"CZ0424038";"40A0";NA;NA;NA
"EVL";"CZ0420014";"6110";NA;NA;NA
"EVL";"CZ0420014";"6190";NA;NA;NA
"EVL";"CZ0420014";"6210";NA;NA;NA
"EVL";"CZ0420014";"8220";NA;NA;NA
"EVL";"CZ0420014";"9180";0;0;0
"EVL";"CZ0420014";"40A0";NA;NA;NA
"EVL";"CZ0423507";"3260";NA;NA;NA
"EVL";"CZ0423507";"6430";NA;NA;NA
"EVL";"CZ0314022";"3140";NA;NA;NA
"EVL";"CZ0314022";"3260";NA;NA;NA
"EVL";"CZ0314022";"9110";3,49966239133944;0;13
"EVL";"CZ0314022";"9130";2,65493001529991;0;7
"EVL";"CZ0314022";"91E0";0,502919948385272;0;2
"EVL";"CZ0610029";"3130";NA;NA;NA
"EVL";"CZ0513506";"2330";NA;NA;NA
"EVL";"CZ0513506";"3140";NA;NA;NA
"EVL";"CZ0513506";"3150";NA;NA;NA
"EVL";"CZ0513506";"3260";NA;NA;NA
"EVL";"CZ0513506";"6410";NA;NA;NA
"EVL";"CZ0513506";"6430";NA;NA;NA
"EVL";"CZ0513506";"7140";NA;NA;NA
"EVL";"CZ0513506";"91D0";0,639372796539939;0;4
"EVL";"CZ0513506";"91E0";0;0;0
"EVL";"CZ0724429";"8310";NA;NA;NA
"EVL";"CZ0724429";"9110";7,60472815133425;0;31
"EVL";"CZ0724429";"9130";29,9071936551342;10,3373862314219;79
"EVL";"CZ0724429";"9180";2,00831880961872;0;16
"EVL";"CZ0210010";"6210";NA;NA;NA
"EVL";"CZ0210010";"9170";0,025161165706953;0;1
"EVL";"CZ0210010";"91I0";0;0;0
"EVL";"CZ0622009";"6210";NA;NA;NA
"EVL";"CZ0210172";"3140";NA;NA;NA
"EVL";"CZ0210172";"6210";NA;NA;NA
"EVL";"CZ0210172";"6410";NA;NA;NA
"EVL";"CZ0210172";"7210";NA;NA;NA
"EVL";"CZ0210172";"7230";NA;NA;NA
"EVL";"CZ0210043";"9110";0;0;0
"EVL";"CZ0210043";"9180";0,0258322058729385;0;1
"EVL";"CZ0520020";"8220";NA;NA;NA
"EVL";"CZ0520020";"9110";0;0;0
"EVL";"CZ0520020";"9130";0,662048196420239;0;2
"EVL";"CZ0414127";"3150";NA;NA;NA
"EVL";"CZ0414127";"5130";NA;NA;NA
"EVL";"CZ0414127";"6210";NA;NA;NA
"EVL";"CZ0414127";"6230";NA;NA;NA
"EVL";"CZ0414127";"6430";NA;NA;NA
"EVL";"CZ0414127";"6510";NA;NA;NA
"EVL";"CZ0414127";"8230";NA;NA;NA
"EVL";"CZ0414127";"8310";NA;NA;NA
"EVL";"CZ0414127";"9130";234,354444401747;140,130601341608;394
"EVL";"CZ0414127";"9180";26,7799478133236;9,82891012231699;102
"EVL";"CZ0414127";"40A0";NA;NA;NA
"EVL";"CZ0414127";"91E0";16,199320147772;5,68639849159941;99
"EVL";"CZ0414127";"91I0";24,2054050087771;11,2033324845882;41
"EVL";"CZ0814093";"91E0";0,111796042438308;0;3
"EVL";"CZ0610145";"91E0";0;0;0
"EVL";"CZ0530020";"8210";NA;NA;NA
"EVL";"CZ0530020";"9130";18,7510162386006;3,3764400924189;51
"EVL";"CZ0530020";"9180";1,37425281887409;0;10
"EVL";"CZ0534054";"3140";NA;NA;NA
"EVL";"CZ0534054";"6410";NA;NA;NA
"EVL";"CZ0534054";"6430";NA;NA;NA
"EVL";"CZ0534054";"7140";NA;NA;NA
"EVL";"CZ0534054";"91E0";1,58332663656578;0;6
"EVL";"CZ0714771";"8310";NA;NA;NA
"EVL";"CZ0320140";"9130";2,97603949620483;0;14
"EVL";"CZ0320140";"9180";0,203429039342282;0;3
