"SITECODE";"NAZEV";"HABITAT_CODE";"DATE_MIN";"DATE_MAX";"PAR_NAZEV";"PAR_HODNOTA";"ROK_HODNOCENI"
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"PERC_0";"0";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"PERC_1";"0";2024
"CZ0620076";"Zřídla u Nesvačilky";"1340";"19258";"19258";"PERC_2";"100";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"ROZLOHA";"0.635";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"KVALITA";"2.589";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"TYPICKE_DRUHY";"3";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"REPRE";"0";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"REPRE_SDF";"3.026";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"CONSERVATION";"2.026";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"DEGREE_OF_CONSERVATION";"97.383";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"MRTVE_DREVO";NA;2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"KALAMITA_POLOM";NA;2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"RELATIVE_AREA_PERC";"0";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"EVL_AREA_PERC";"0.703";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"GOOD_DOC_AREA_HA";"0.619";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"W_AREA_HA";"0.017";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"W_AREA_PERC";"2.617";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"PASEKY_AREA_HA";NA;2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"PASEKY_AREA_PERC";NA;2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"DEGRAD_AREA_HA";"0.017";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"DEGRAD_AREA_PERC";"2.617";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"PERC_0";"0";2024
