"","sitecode","habitat","region_id","pair","datum_new","datum_old"
"98","CZ0210708","9180","CZ2863","VMB1_VMB2",2014-04-17,2003-05-29
"99","CZ0210714","91E0","CZ2656","VMB1_VMB2",2014-08-02,2001-05-02
"100","CZ0210714","91F0","CZ2656","VMB1_VMB2",2014-05-26,2001-05-02
"101","CZ0210726","91U0","CZ0467","VMB1_VMB2",2016-10-21,2007-05-09
"102","CZ0212019","9150","CZ3091","VMB1_VMB2",2011-09-14,2002-08-26
"103","CZ0212019","9190","CZ3091","VMB1_VMB2",2011-09-14,2002-08-25
"104","CZ0212019","91E0","CZ3091","VMB1_VMB2",2011-09-14,2002-08-26
"105","CZ0213802","9170","CZ2662","VMB1_VMB2",2015-09-14,2004-06-12
"106","CZ0213802","9180","CZ2662","VMB1_VMB2",2015-09-14,2004-06-12
"107","CZ0214002","9130","CZ0523","VMB1_VMB2",2019-05-24,2005-07-04
"108","CZ0214002","9150","CZ0523","VMB1_VMB2",2019-10-04,2002-06-18
"109","CZ0214002","9170","CZ0523","VMB1_VMB2",2020-06-04,2003-07-11
"110","CZ0214002","9180","CZ0523","VMB1_VMB2",2020-04-08,2003-07-02
"111","CZ0214002","91H0","CZ0523","VMB1_VMB2",2020-05-01,2003-07-02
"112","CZ0214002","91I0","CZ0523","VMB1_VMB2",2020-04-06,2003-07-02
"113","CZ0214003","9170","CZ0522","VMB2_VMB0",2022-10-23,2008-07-31
"114","CZ0214004","9170","CZ0854","VMB2_VMB0",2022-11-08,2008-09-09
"115","CZ0214004","9190","CZ0854","VMB2_VMB0",2022-07-19,2008-09-07
"116","CZ0214005","9170","CZ0181","VMB2_VMB0",2024-05-14,2007-11-30
"117","CZ0214005","9170","CZ2545","VMB1_VMB2",2019-07-10,2002-05-14
"118","CZ0214005","9180","CZ0181","VMB2_VMB0",2024-04-05,2007-10-28
"119","CZ0214005","91E0","CZ0181","VMB2_VMB0",2024-05-14,2007-11-30
"120","CZ0214005","91E0","CZ2545","VMB1_VMB2",2019-07-10,2002-05-14
"121","CZ0214006","9170","CZ0188","VMB2_VMB0",2022-10-21,2010-07-08
"122","CZ0214006","9170","CZ0995","VMB2_VMB0",2022-06-18,2009-07-19
"123","CZ0214006","9170","CZ2953","VMB2_VMB0",2022-05-26,2009-07-22
"124","CZ0214006","9190","CZ0188","VMB2_VMB0",2022-10-20,2010-07-08
"125","CZ0214006","9190","CZ0995","VMB2_VMB0",2022-06-18,2009-07-19
"126","CZ0214006","9190","CZ2953","VMB2_VMB0",2022-10-22,2010-07-08
"127","CZ0214007","9170","CZ0192","VMB2_VMB0",2021-07-18,2007-08-14
"128","CZ0214007","91E0","CZ0192","VMB2_VMB0",2021-07-16,2007-08-14
"129","CZ0214007","91F0","CZ0192","VMB2_VMB0",2021-07-18,2007-08-14
"130","CZ0214008","9110","CZ0848","VMB1_VMB2",2013-08-08,2003-07-18
"131","CZ0214008","9110","CZ2863","VMB1_VMB2",2014-05-02,2002-06-25
"132","CZ0214008","9110","CZ2896","VMB1_VMB2",2015-12-14,2003-05-31
"133","CZ0214008","9130","CZ0848","VMB1_VMB2",2014-08-08,2003-09-06
"134","CZ0214008","9130","CZ2863","VMB1_VMB2",2014-07-31,2003-09-13
"135","CZ0214008","9130","CZ2884","VMB1_VMB2",2009-08-07,2002-07-07
"136","CZ0214008","9130","CZ2896","VMB1_VMB2",2015-12-14,2003-05-31
"137","CZ0214008","9170","CZ0848","VMB1_VMB2",2014-08-02,2003-08-24
"138","CZ0214008","9170","CZ2863","VMB1_VMB2",2014-07-31,2003-09-13
"139","CZ0214008","9170","CZ2884","VMB1_VMB2",2009-07-11,2002-07-07
"140","CZ0214008","9170","CZ2896","VMB1_VMB2",2015-07-16,2003-08-24
"141","CZ0214008","9170","CZ2929","VMB1_VMB2",2011-09-29,2003-06-21
"142","CZ0214008","9180","CZ0848","VMB1_VMB2",2014-08-01,2003-09-07
"143","CZ0214008","9180","CZ2863","VMB1_VMB2",2014-07-31,2003-09-14
"144","CZ0214008","9180","CZ2896","VMB1_VMB2",2015-07-20,2002-12-31
"145","CZ0214008","9180","CZ2929","VMB1_VMB2",2011-09-29,2003-06-21
"146","CZ0214008","9190","CZ0848","VMB1_VMB2",2013-08-03,2003-07-18
"147","CZ0214008","9190","CZ2863","VMB1_VMB2",2014-05-02,2002-07-07
"148","CZ0214008","9190","CZ2896","VMB1_VMB2",2015-12-14,2003-05-26
"149","CZ0214009","91F0","CZ0832","VMB1_VMB2",2017-04-25,2005-12-20
"150","CZ0214009","91F0","CZ0844","VMB1_VMB2",2015-10-03,2005-09-08
"151","CZ0214011","9110","CZ0186","VMB2_VMB0",2024-11-01,2007-09-16
"152","CZ0214011","9110","CZ0187","VMB2_VMB0",2024-09-24,2007-06-02
"153","CZ0214011","9130","CZ0186","VMB2_VMB0",2025-07-29,2007-09-15
"154","CZ0214011","9130","CZ0187","VMB2_VMB0",2024-09-24,2007-08-25
"155","CZ0214011","9170","CZ0186","VMB2_VMB0",2025-07-29,2007-09-15
"156","CZ0214011","9170","CZ0187","VMB2_VMB0",2024-09-26,2007-08-25
"157","CZ0214011","9170","CZ2706","VMB1_VMB2",2014-05-30,2003-09-12
"158","CZ0214011","9180","CZ0186","VMB2_VMB0",2024-11-01,2007-09-21
"159","CZ0214011","9180","CZ0187","VMB2_VMB0",2024-09-27,2007-07-02
"160","CZ0214011","9180","CZ2706","VMB1_VMB2",2014-05-30,2003-05-28
"161","CZ0214011","91E0","CZ0186","VMB2_VMB0",2024-10-25,2007-09-17
"162","CZ0214011","91E0","CZ0187","VMB1_VMB2",2007-07-02,2003-07-26
"163","CZ0214011","91E0","CZ2706","VMB1_VMB2",2014-06-05,2003-06-13
"164","CZ0214013","9110","CZ0472","VMB1_VMB2",2015-08-13,2005-08-11
"165","CZ0214013","9110","CZ0902","VMB1_VMB2",2012-08-04,2005-08-10
"166","CZ0214013","9110","CZ0911","VMB1_VMB2",2008-11-10,2005-08-27
"167","CZ0214013","9110","CZ0917","VMB1_VMB2",2008-09-02,2002-10-16
"168","CZ0214013","9110","CZ3164","VMB1_VMB2",2015-08-24,2002-06-11
"169","CZ0214013","9110","CZ3209","VMB1_VMB2",2019-08-22,2005-08-16
"170","CZ0214013","9110","CZ3218","VMB1_VMB2",2020-10-04,2002-10-22
"171","CZ0214013","9110","CZ3225","VMB1_VMB2",2019-10-29,2005-08-16
"172","CZ0214013","9110","CZ3230","VMB1_VMB2",2016-07-19,2005-08-10
"173","CZ0214013","9110","CZ3233","VMB1_VMB2",2016-08-25,2005-08-16
"174","CZ0214013","9110","CZ3241","VMB1_VMB2",2010-10-11,2002-10-26
"175","CZ0214013","9110","CZ3278","VMB1_VMB2",2016-08-16,2005-08-10
"176","CZ0214013","9110","CZ3280","VMB1_VMB2",2018-10-16,2002-09-12
"177","CZ0214013","91E0","CZ0472","VMB1_VMB2",2015-08-13,2005-08-28
"178","CZ0214013","91E0","CZ0885","VMB1_VMB2",2012-09-12,2003-11-04
"179","CZ0214013","91E0","CZ0911","VMB1_VMB2",2008-11-01,2005-08-28
"180","CZ0214013","91E0","CZ0917","VMB1_VMB2",2008-08-23,2001-08-11
"181","CZ0214013","91E0","CZ3103","VMB1_VMB2",2015-07-10,2001-06-08
"182","CZ0214013","91E0","CZ3164","VMB1_VMB2",2015-08-24,2005-08-28
"183","CZ0214013","91E0","CZ3230","VMB1_VMB2",2016-07-07,2001-09-08
"184","CZ0214013","91E0","CZ3233","VMB1_VMB2",2016-08-20,2002-09-06
"185","CZ0214013","91E0","CZ3278","VMB1_VMB2",2016-08-14,2002-09-20
"186","CZ0214015","9130","CZ0163","VMB1_VMB2",2010-10-05,2003-09-15
"187","CZ0214015","9170","CZ0163","VMB1_VMB2",2010-10-05,2003-09-15
"188","CZ0214015","9180","CZ0163","VMB1_VMB2",2010-10-05,2003-09-17
"189","CZ0214015","91E0","CZ0163","VMB1_VMB2",2010-10-05,2003-09-17
"190","CZ0214015","91I0","CZ0163","VMB1_VMB2",2010-09-20,2003-09-03
"191","CZ0214017","9150","CZ0060","VMB1_VMB2",2014-05-11,2002-06-11
"192","CZ0214017","9150","CZ0814","VMB1_VMB2",2017-05-05,2005-10-25
"193","CZ0214017","9150","CZ2710","VMB1_VMB2",2012-04-29,2005-10-25
