kod_chu,DRUH,ID_IND,KLIC,ROK,POLE,NAZEV_LOK,ID_ND_AKCE,HOD_IND,TYP_IND,LIM_IND,JEDNOTKA,LIM_INDLIST,STAV_IND,UROVEN,IND_GRP,CILMON_CHU
CZ0723020,Eriogaster catax,CELKOVE_HODNOCENI,NA,2021,7070b,Ostrožské Předměstí - Obora,12755471,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0723024,Eriogaster catax,POP_PRESENCE,ano,"2012, 2015, 2022, 2023, 2024, 2013, 2019, 2021, 2018",6970b,"EVL Rochus, Jarošov u Uherského Hradiště, Rochus, Uherské Hradiště, Rochus, Mařatice - Rochus, Stezka pokladnic Slovácka, Uherské Hradiště - Mařatice, Uherské Hradiště, Uherské Hradiště - PP Rochus, Uherské Hradiště, Silnice bez názvu, Uherské Hradiště, Unnamed Road","8282769, 9533899, 12800398, 12800712, 12800725, 13747455, 8893484, 10616017, 11478156, 10263248, 12491328, 12754996, 12754997, 11466230",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0723024,Eriogaster catax,STA_HABPOKRYV,ne,"2012, 2015, 2022, 2023, 2024, 2013, 2019, 2021, 2018",6970b,"EVL Rochus, Jarošov u Uherského Hradiště, Rochus, Uherské Hradiště, Rochus, Mařatice - Rochus, Stezka pokladnic Slovácka, Uherské Hradiště - Mařatice, Uherské Hradiště, Uherské Hradiště - PP Rochus, Uherské Hradiště, Silnice bez názvu, Uherské Hradiště, Unnamed Road","8282769, 9533899, 12800398, 12800712, 12800725, 13747455, 8893484, 10616017, 11478156, 10263248, 12491328, 12754996, 12754997, 11466230",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0723024,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2012, 2015, 2022, 2023, 2024, 2013, 2019, 2021, 2018",6970b,"EVL Rochus, Jarošov u Uherského Hradiště, Rochus, Uherské Hradiště, Rochus, Mařatice - Rochus, Stezka pokladnic Slovácka, Uherské Hradiště - Mařatice, Uherské Hradiště, Uherské Hradiště - PP Rochus, Uherské Hradiště, Silnice bez názvu, Uherské Hradiště, Unnamed Road","8282769, 9533899, 12800398, 12800712, 12800725, 13747455, 8893484, 10616017, 11478156, 10263248, 12491328, 12754996, 12754997, 11466230",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0723416,Eriogaster catax,POP_PRESENCE,ano,2012,6971a,Popovice u Uherského Hradiště,"8282772, 8282773",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0723416,Eriogaster catax,STA_HABPOKRYV,ne,2012,6971a,Popovice u Uherského Hradiště,"8282772, 8282773",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,0
CZ0723416,Eriogaster catax,CELKOVE_HODNOCENI,NA,2012,6971a,Popovice u Uherského Hradiště,"8282772, 8282773",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0723425,Eriogaster catax,POP_PRESENCE,ano,"2014, 2021",6971c,"EVL Stráně u Popovic, Popovice","9057205, 9057206, 9057209, 11475076",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0723425,Eriogaster catax,STA_HABPOKRYV,ne,"2014, 2021",6971c,"EVL Stráně u Popovic, Popovice","9057205, 9057206, 9057209, 11475076",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,0
CZ0723425,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2014, 2021",6971c,"EVL Stráně u Popovic, Popovice","9057205, 9057206, 9057209, 11475076",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0723430,Eriogaster catax,POP_PRESENCE,ano,"2014, 2017",6972c,"EVL Údolí Bánovského potoka, KÚ: Šumice u Uherského Brodu","9057203, 10123370",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0723430,Eriogaster catax,STA_HABPOKRYV,ne,"2014, 2017",6972c,"EVL Údolí Bánovského potoka, KÚ: Šumice u Uherského Brodu","9057203, 10123370",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,0
CZ0723430,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2014, 2017",6972c,"EVL Údolí Bánovského potoka, KÚ: Šumice u Uherského Brodu","9057203, 10123370",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0724087,Eriogaster catax,POP_PRESENCE,ano,"2013, 2017, 2022, 2023, 2024, 2019, 2020, 2018, 2015","6972c, 6972a, 6972c, 6972a","Újezdecký les, KÚ: Újezdec u Luhačovic, Újezdec, Těšov, Uherský Brod, Újezdec, Újezdec - PP Újezdecký les, Újezdec u Luhačovic","9677109, 10123371, 12800434, 12800472, 12800542, 12800544, 13747443, 13747447, 10613658, 11228171, 10448807, 9535971",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0724087,Eriogaster catax,STA_HABPOKRYV,ne,"2013, 2017, 2022, 2023, 2024, 2019, 2020, 2018, 2015","6972c, 6972a, 6972c, 6972a","Újezdecký les, KÚ: Újezdec u Luhačovic, Újezdec, Těšov, Uherský Brod, Újezdec, Újezdec - PP Újezdecký les, Újezdec u Luhačovic","9677109, 10123371, 12800434, 12800472, 12800542, 12800544, 13747443, 13747447, 10613658, 11228171, 10448807, 9535971",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0724087,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2013, 2017, 2022, 2023, 2024, 2019, 2020, 2018, 2015","6972c, 6972a, 6972c, 6972a","Újezdecký les, KÚ: Újezdec u Luhačovic, Újezdec, Těšov, Uherský Brod, Újezdec, Újezdec - PP Újezdecký les, Újezdec u Luhačovic","9677109, 10123371, 12800434, 12800472, 12800542, 12800544, 13747443, 13747447, 10613658, 11228171, 10448807, 9535971",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0724090,Eriogaster catax,POP_PRESENCE,ano,"2020, 2015, 2013, 2019, 2023, 2017, 2022, 2024, 2021, 2014","7071d, 7071c, 7171a, 7171b","54, Horní Němčí, 7071-34, 7071-42, 7071-43, 7171-13, 7171-14, 7171-23, 7171-24, Horní Němčí, Horní Němčí, 54, KÚ: Nová Lhota u Veselí nad Moravou, Boršice, PR Drahy, Vinohrádky, Přední louky, Suchov, Boršice u Blatnice, Horní Němčí - Vinohrádky, Slavkov, Horni Němčî, Nová Lhota, Nová Lhota u Veselí nad Moravou","11228065, 9653913, 9654118, 9654018, 9653707, 9653839, 9653841, 9653971, 9654062, 10613657, 12754998, 10123375, 12800419, 12800525, 12800659, 12800380, 12800589, 12800683, 12800446, 12800585, 12800470, 12800552, 13747434, 13747451, 13747452, 13747432, 11466157, 9130334",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0724090,Eriogaster catax,STA_HABPOKRYV,ne,"2020, 2015, 2013, 2019, 2023, 2017, 2022, 2024, 2021, 2014","7071d, 7071c, 7171a, 7171b","54, Horní Němčí, 7071-34, 7071-42, 7071-43, 7171-13, 7171-14, 7171-23, 7171-24, Horní Němčí, Horní Němčí, 54, KÚ: Nová Lhota u Veselí nad Moravou, Boršice, PR Drahy, Vinohrádky, Přední louky, Suchov, Boršice u Blatnice, Horní Němčí - Vinohrádky, Slavkov, Horni Němčî, Nová Lhota, Nová Lhota u Veselí nad Moravou","11228065, 9653913, 9654118, 9654018, 9653707, 9653839, 9653841, 9653971, 9654062, 10613657, 12754998, 10123375, 12800419, 12800525, 12800659, 12800380, 12800589, 12800683, 12800446, 12800585, 12800470, 12800552, 13747434, 13747451, 13747452, 13747432, 11466157, 9130334",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0724090,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2020, 2015, 2013, 2019, 2023, 2017, 2022, 2024, 2021, 2014","7071d, 7071c, 7171a, 7171b","54, Horní Němčí, 7071-34, 7071-42, 7071-43, 7171-13, 7171-14, 7171-23, 7171-24, Horní Němčí, Horní Němčí, 54, KÚ: Nová Lhota u Veselí nad Moravou, Boršice, PR Drahy, Vinohrádky, Přední louky, Suchov, Boršice u Blatnice, Horní Němčí - Vinohrádky, Slavkov, Horni Němčî, Nová Lhota, Nová Lhota u Veselí nad Moravou","11228065, 9653913, 9654118, 9654018, 9653707, 9653839, 9653841, 9653971, 9654062, 10613657, 12754998, 10123375, 12800419, 12800525, 12800659, 12800380, 12800589, 12800683, 12800446, 12800585, 12800470, 12800552, 13747434, 13747451, 13747452, 13747432, 11466157, 9130334",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
