kod_chu,DRUH,POSLEDNI_NALEZ
CZ0624103,Romanogobio vladykovi,2023-10-05
CZ0624103,Sabanejewia balcanica,2019-09-26
CZ0624119,Cobitis elongatoides,2019-10-31
CZ0624119,Gymnocephalus baloni,2019-11-08
CZ0624119,Misgurnus fossilis,2023-09-08
CZ0624119,Pelecus cultratus,2012-08-28
CZ0624119,Rhodeus amarus,2023-09-12
CZ0624119,Romanogobio vladykovi,2023-06-05
CZ0624119,Zingel streber,2019-10-31
CZ0624119,Zingel zingel,2020-11-15
CZ0624130,Cottus gobio,2025-03-08
CZ0624238,Rhodeus amarus,2019-10-21
CZ0624238,Romanogobio vladykovi,2023-10-05
CZ0624238,Sabanejewia balcanica,2019-10-21
CZ0712186,Misgurnus fossilis,2020-09-20
CZ0713004,Cottus gobio,2017-09-29
CZ0713004,Eudontomyzon mariae,2023-10-01
CZ0713004,Lampetra planeri,2013-09-23
CZ0713374,Cottus gobio,2021-09-07
CZ0713374,Lampetra planeri,2023-10-23
CZ0713398,Lampetra planeri,2020-09-07
CZ0714073,Cottus gobio,2023-10-05
CZ0714073,Lampetra planeri,2015-09-01
CZ0714073,Misgurnus fossilis,2022-09-01
CZ0714073,Rhodeus amarus,2023-11-04
CZ0714081,Lampetra planeri,2021-06-11
CZ0714082,Rhodeus amarus,2022-09-01
CZ0714085,Misgurnus fossilis,2020-05-06
CZ0714085,Rhodeus amarus,2022-09-01
CZ0714085,Romanogobio vladykovi,2022-09-01
CZ0714133,Cottus gobio,2023-10-21
CZ0714133,Lampetra planeri,2016-09-23
CZ0723007,Rhodeus amarus,2022-09-24
CZ0723012,Rhodeus amarus,2023-08-22
CZ0723423,Misgurnus fossilis,2020-05-16
CZ0723426,Misgurnus fossilis,2019-04-20
CZ0723426,Rhodeus amarus,2019-04-20
CZ0723434,Cottus gobio,2019-09-16
CZ0723434,Rhodeus amarus,2017-09-29
CZ0723434,Sabanejewia balcanica,2023-08-25
CZ0724089,Cottus gobio,2024-07-22
CZ0724090,Cottus gobio,2015-07-18
CZ0724107,Rhodeus amarus,2023-08-22
CZ0724120,Rhodeus amarus,2023-04-30
CZ0810004,Cottus gobio,2017-09-27
CZ0810004,Lampetra planeri,2017-10-02
CZ0810424,Misgurnus fossilis,2020-05-11
CZ0813439,Misgurnus fossilis,2021-10-15
CZ0813439,Rhodeus amarus,2020-10-30
CZ0813442,Misgurnus fossilis,2020-06-03
CZ0813444,Misgurnus fossilis,2020-06-03
CZ0813456,Cottus gobio,2023-10-24
CZ0813456,Lampetra planeri,2023-10-24
CZ0813457,Misgurnus fossilis,2020-06-03
CZ0813462,Cottus gobio,2023-08-18
CZ0813462,Lampetra planeri,2019-02-17
CZ0813474,Cottus gobio,2023-10-24
CZ0813516,Cottus gobio,2018-10-06
CZ0813516,Lampetra planeri,2023-08-19
CZ0813810,Cottus gobio,2023-10-21
CZ0813810,Lampetra planeri,2018-10-12
CZ0814092,Cottus gobio,2022-10-19
CZ0814092,Lampetra planeri,2015-09-01
CZ0814092,Misgurnus fossilis,2024-05-04
CZ0814092,Rhodeus amarus,2024-03-08
CZ0814093,Misgurnus fossilis,2020-06-03
CZ0814093,Rhodeus amarus,2023-08-22
