kod_chu,DRUH,KOD_LOKAL,POLE,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0323167,Bombina variegata,amp67/cf,6247d,2023-05-24,2024-06-25
CZ0323167,Bombina variegata,amp67/cg,6247d,2023-06-08,2024-06-25
CZ0323167,Bombina variegata,amp67/ch,6247d,2023-05-24,2024-06-25
CZ0323167,Bombina variegata,amp67/ci,6247d,2023-05-24,2024-06-25
CZ0323167,Bombina variegata,amp67/cj,6247d,2023-05-24,2023-06-08
CZ0323167,Bombina variegata,amp67/cl,6247d,2023-05-24,2024-06-25
CZ0323167,Bombina variegata,amp67/cm,6247d,2023-05-24,2023-06-08
CZ0323167,Bombina variegata,amp67/cn,6247d,2023-05-24,2024-06-25
CZ0323167,Bombina variegata,amp67/cq,6247d,2024-05-23,2024-06-25
CZ0323167,Bombina variegata,amp67/cr,6247d,2024-05-23,2024-06-25
CZ0323167,Bombina variegata,amp67/cs,6247d,2024-05-23,2024-06-25
CZ0323167,Bombina variegata,amp67/ct,6247d,2024-05-23,2024-06-25
CZ0323167,Bombina variegata,amp67/cu,6247d,2024-05-23,2024-06-25
CZ0323167,Bombina variegata,amp67/cv,6247d,2024-05-23,2024-06-25
CZ0323167,Bombina variegata,amp67/cw,6247d,2024-05-23,2024-06-25
CZ0323167,Bombina variegata,amp67/cx,6247d,2024-05-23,2024-06-25
CZ0323167,Bombina variegata,amp67/cy,6247d,2024-05-23,2024-06-25
CZ0323167,Bombina variegata,amp67/cz,6247d,2024-05-23,2024-06-25
CZ0323167,Bombina variegata,amp67/da,6247d,2024-05-23,2024-06-25
CZ0323167,Bombina variegata,amp67/db,6247d,2024-05-23,2024-06-25
CZ0323167,Bombina variegata,amp67/dc,6247c,2024-05-23,2024-06-25
CZ0323167,Bombina variegata,amp67/p,6247d,2019-06-04,2022-06-08
CZ0323167,Bombina variegata,amp67/r,6247d,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/s,6247d,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/t,6247d,2019-06-04,2024-06-25
CZ0323167,Bombina variegata,amp67/u,6247d,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/v,6247d,2019-06-04,2024-06-25
CZ0323167,Bombina variegata,amp67/w,6247d,2019-06-04,2024-06-25
CZ0323167,Bombina variegata,amp67/x,6247d,2019-06-04,2024-06-25
CZ0323167,Bombina variegata,amp67/y,6247d,2019-06-04,2019-06-17
CZ0323167,Bombina variegata,amp67/z,6247d,2019-06-04,2022-06-08
CZ0323169,Bombina variegata,CZ0323169,6243b,2012-06-17,2024-05-05
