kod_chu,DRUH,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0323143,Bombina variegata,2012-04-24,2024-06-08
CZ0323145,Lampetra planeri,2016-07-07,2016-07-08
CZ0323151,Lampetra planeri,2020-11-16,2020-11-16
CZ0323155,Osmoderma barnabita,2022-08-08,2023-06-19
CZ0323159,Osmoderma barnabita,2013-11-06,2013-11-06
CZ0323160,Bombina variegata,2012-05-22,2024-06-07
CZ0323162,Bombina variegata,2013-08-15,2024-07-14
CZ0323165,Lampetra planeri,2015-10-19,2024-10-22
CZ0323166,Lampetra planeri,2015-10-25,2022-05-04
CZ0323167,Bombina variegata,2012-06-16,2024-06-25
CZ0323169,Bombina variegata,2012-06-17,2024-07-24
CZ0323478,Bombina variegata,2014-07-16,2024-07-14
CZ0323812,Lampetra planeri,2014-10-13,2023-10-09
CZ0323824,Lampetra planeri,2015-09-24,2023-10-27
CZ0323825,Lampetra planeri,2021-11-16,2021-11-16
CZ0323826,Bombina variegata,2012-06-17,2024-07-24
CZ0324025,Lampetra planeri,2015-11-17,2015-11-17
CZ0324026,Lampetra planeri,2012-10-17,2022-09-24
CZ0410020,Lampetra planeri,2015-09-15,2021-06-05
CZ0413177,Lampetra planeri,2013-10-04,2023-08-16
CZ0413190,Osmoderma barnabita,2018-10-03,2018-10-03
CZ0413194,Lampetra planeri,2015-09-21,2023-08-11
CZ0414110,Lampetra planeri,2015-09-01,2015-09-01
CZ0414127,Lampetra planeri,2015-09-01,2015-09-01
CZ0420021,Osmoderma barnabita,2015-10-01,2015-10-01
CZ0420144,Lampetra planeri,2015-09-01,2015-09-01
CZ0423202,Osmoderma barnabita,2021-05-23,2021-05-23
CZ0423210,Osmoderma barnabita,2015-10-01,2025-03-02
CZ0423213,Osmoderma barnabita,2025-03-02,2025-03-02
CZ0423217,Osmoderma barnabita,2013-09-23,2014-11-13
CZ0423223,Osmoderma barnabita,2015-05-17,2022-08-06
CZ0423224,Osmoderma barnabita,2013-12-11,2022-11-28
CZ0423233,Osmoderma barnabita,2020-04-18,2020-04-29
CZ0423510,Lampetra planeri,2015-09-01,2015-09-01
CZ0424030,Lampetra planeri,2015-09-01,2015-09-01
CZ0424031,Lampetra planeri,2012-10-20,2024-04-27
CZ0424125,Bombina variegata,2024-04-15,2024-04-15
CZ0424127,Lampetra planeri,2015-09-01,2015-09-01
CZ0424127,Osmoderma barnabita,2014-07-17,2021-10-10
CZ0424138,Osmoderma barnabita,2018-10-26,2018-10-26
CZ0510191,Lampetra planeri,2015-10-23,2015-10-23
