kod_chu,DRUH,KOD_LOKAL,POLE,POSLEDNI_NALEZ
CZ0314022,Lampetra planeri,CZ0314022,7253c,2012-09-07
CZ0314022,Lampetra planeri,CZ0314022,7352b,2024-04-24
CZ0314022,Lampetra planeri,CZ0314022,7352d,2024-04-24
CZ0314022,Lampetra planeri,CZ0314022,7353c,2024-04-24
CZ0314022,Lampetra planeri,CZ0314022,7353d,2012-09-07
CZ0314023,Bombina variegata,CZ0314023,7055a,2024-04-06
CZ0314023,Lampetra planeri,CZ0314023,6954d,2015-05-29
CZ0314023,Lampetra planeri,CZ0314023,7055a,2019-10-06
CZ0314023,Lampetra planeri,CZ0314023,7055c,2015-09-08
CZ0314023,Lampetra planeri,CZ0314023,7155a,2019-09-21
CZ0314023,Lampetra planeri,CZ0314023,7155d,2019-09-21
CZ0314023,Lampetra planeri,Lužnice,6954d,2021-10-13
CZ0314023,Lampetra planeri,Lužnice,7055c,2021-09-20
CZ0314023,Lampetra planeri,Lužnice,7155a,2021-10-13
CZ0314023,Osmoderma barnabita,407,7055a,2012-04-23
CZ0314023,Osmoderma barnabita,CZ0314023,6954b,2021-06-15
CZ0314023,Osmoderma barnabita,CZ0314023,6954d,2015-07-23
CZ0314023,Osmoderma barnabita,CZ0314023,6955c,2023-03-16
CZ0314023,Osmoderma barnabita,CZ0314023,7055a,2015-03-31
CZ0314024,Bombina variegata,CZ0314024,6744b,2014-06-13
CZ0314024,Lampetra planeri,CZ0314024,6744b,2016-01-12
CZ0314024,Lampetra planeri,CZ0314024,6744d,2016-08-02
CZ0314024,Lampetra planeri,CZ0314024,6745b,2021-12-18
CZ0314024,Lampetra planeri,CZ0314024,6746a,2016-10-20
CZ0314024,Lampetra planeri,CZ0314024,6747c,2015-05-03
CZ0314024,Lampetra planeri,CZ0314024,6845b,2015-09-01
CZ0314024,Lampetra planeri,CZ0314024,6846a,2022-08-19
CZ0314024,Lampetra planeri,CZ0314024,6846b,2019-06-21
CZ0314024,Lampetra planeri,CZ0314024,6846c,2015-09-01
CZ0314024,Lampetra planeri,CZ0314024,6847a,2018-04-27
CZ0314024,Lampetra planeri,CZ0314024,6847c,2021-08-11
CZ0314024,Lampetra planeri,CZ0314024,6947d,2023-09-14
CZ0314024,Lampetra planeri,CZ0314024,6949d,2024-12-06
CZ0314024,Lampetra planeri,CZ0314024,7047b,2024-07-03
CZ0314024,Lampetra planeri,CZ0314024,7048a,2023-09-18
CZ0314024,Lampetra planeri,CZ0314024,7048c,2023-09-19
CZ0314024,Lampetra planeri,CZ0314024,7048d,2024-05-06
CZ0314024,Lampetra planeri,CZ0314024,7049a,2023-06-26
CZ0314024,Lampetra planeri,CZ0314024,7049b,2024-04-13
CZ0314024,Lampetra planeri,CZ0314024,7049d,2023-08-23
CZ0314024,Lampetra planeri,CZ0314024,7050c,2023-10-13
CZ0314024,Lampetra planeri,CZ0314024,7050d,2023-10-03
CZ0314024,Lampetra planeri,CZ0314024,7148b,2023-06-04
CZ0314024,Lampetra planeri,CZ0314024,7148d,2024-06-21
CZ0314024,Lampetra planeri,CZ0314024,7149a,2024-06-20
CZ0314024,Lampetra planeri,CZ0314024,7149b,2023-06-27
CZ0314024,Lampetra planeri,CZ0314024,7149d,2021-04-16
CZ0314024,Lampetra planeri,CZ0314024,7249b,2020-04-27
CZ0314024,Lampetra planeri,CZ0314024,7250d,2012-06-25
CZ0314024,Lampetra planeri,CZ0314024,7350a,2015-05-05
CZ0314024,Lampetra planeri,CZ0314024,7350d,2012-07-11
CZ0314024,Lampetra planeri,OST_007_Ostružná,6746a,2020-09-27
CZ0314024,Lampetra planeri,Ostružná,6745b,2022-10-18
CZ0314024,Lampetra planeri,Ostružná,6746a,2022-10-18
CZ0314024,Lampetra planeri,SUM_CG_042_Šumava,7350a,2023-10-05
CZ0314024,Lampetra planeri,SUM_LP_001_Šumava,6744a,2023-09-04
CZ0314024,Lampetra planeri,SUM_LP_002_Šumava,6744b,2023-09-04
CZ0314024,Lampetra planeri,SUM_LP_003_Šumava,6744b,2023-09-04
CZ0314024,Lampetra planeri,SUM_LP_004_Šumava,6744b,2023-09-04
CZ0314024,Lampetra planeri,SUM_LP_005_Šumava,6744d,2023-09-04
CZ0314024,Lampetra planeri,SUM_LP_006_Šumava,6744d,2023-09-04
CZ0314024,Lampetra planeri,SUM_LP_007_Šumava,6745a,2023-09-06
CZ0314024,Lampetra planeri,SUM_LP_008_Šumava,6745a,2023-09-06
CZ0314024,Lampetra planeri,SUM_LP_009_Šumava,6745c,2023-09-06
CZ0314024,Lampetra planeri,SUM_LP_010_Šumava,7049b,2023-09-22
CZ0314024,Lampetra planeri,SUM_LP_011_Šumava,7049a,2023-10-13
