kod_chu,DRUH,ID_IND,KLIC,ROK,POLE,NAZEV_LOK,ID_ND_AKCE,HOD_IND,TYP_IND,LIM_IND,JEDNOTKA,LIM_INDLIST,STAV_IND,UROVEN,IND_GRP,CILMON_CHU
CZ0313822,Lampetra planeri,LOK_PROCDOBR,ne,2019,6956c,"Koštěnický potok - Mládkův mlýn, Koštěnický potok - Mládkův mlýn_pod","11022243, 11022885",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,0
CZ0313822,Lampetra planeri,CELKOVE_HODNOCENI,NA,2019,6956c,"Koštěnický potok - Mládkův mlýn, Koštěnický potok - Mládkův mlýn_pod","11022243, 11022885",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0314022,Lampetra planeri,LOK_PROCDOBR,ne,2017,"7352d,7353c","Malše I - Dolní Dvořiště, Cetviny - pravostranný přítok Malše","10148535, 10260470",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,1
CZ0314022,Lampetra planeri,CELKOVE_HODNOCENI,NA,2017,"7352d,7353c","Malše I - Dolní Dvořiště, Cetviny - pravostranný přítok Malše","10148535, 10260470",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0314023,Lampetra planeri,LOK_PROCDOBR,ne,"2019, 2021","7055a,7155a,7155d, 6954d,7055c,7155a","Lužnice - U hodin, NPR Stará a Nová řeka - Stará řeka_2, NPR Stará a Nová řeka - Stará řeka_1, NPR Stará a Nová řeka - Stará řeka_3, Lužnice - Na Primárně_profil1, Lužnice - Halámky_profil2, Lužnice - Nová Ves_profil3, Lužnice - Holičky_r. km 100, 8, Lužnice - Na Ivance, Lužnice - Hrdlořezy_ústí Gamzy","10628639, 10864054, 10864052, 10864061, 10863533, 10863548, 10863562, 13410839, 13410834, 13410838",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,1
CZ0314023,Lampetra planeri,CELKOVE_HODNOCENI,NA,"2019, 2021","7055a,7155a,7155d, 6954d,7055c,7155a","Lužnice - U hodin, NPR Stará a Nová řeka - Stará řeka_2, NPR Stará a Nová řeka - Stará řeka_1, NPR Stará a Nová řeka - Stará řeka_3, Lužnice - Na Primárně_profil1, Lužnice - Halámky_profil2, Lužnice - Nová Ves_profil3, Lužnice - Holičky_r. km 100, 8, Lužnice - Na Ivance, Lužnice - Hrdlořezy_ústí Gamzy","10628639, 10864054, 10864052, 10864061, 10863533, 10863548, 10863562, 13410839, 13410834, 13410838",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0314024,Lampetra planeri,LOK_PROCDOBR,ne,"2016, 2020, 2022, 2023, 2024, 2018","6744b,6744d,6745b,6746a, 6746a, 6745b,6746a, 7350a, 6744a, 6744b, 6744d, 6745a, 6745c, 7049b, 7049a, 7049d, 7149a, 7149b, 6949c, 7050d, 7050c, 7149d, 7048d, 7048c, 7047b, 6947d, 7250c, 7249d, 6847c, 6746d, 6846b, 6745d, 7047b,7048a,7048c, 7149b,7149d","VD Nýrsko - Zelená Lhota, VD Nýrsko - Hamry, Úhlava - Hamry, Ostružná-Čachrov, Ostružná-Nemilkov, Ostružná – Nemilkov, Ostružná III - Čachrov, Ostružná II - Nemilkov, Pestřice - Pod Pestřickým vrchem, Chodská Úhlava - Svatá Katerina_st. hranice, Chodská Úhlava - Uhliště, Úhlava - Milence, Úhlava - Stará Lhota, Úhlava - Přední Hamry, Svinský Potok - Dvorec, Jelenka - Krotějov, Jelenka - Divišovice, Jelenka - Městiště, Blanice - Řepešín, Blanice – Krečovice, Blanice - Blanický Mlýn, Blanice - Spálenec - žel. st., Vltava - Smolná Pec, Černý potok - Blažejovice, Tetřívčí potok - Spálenec, Puchéřský potok - Arnoštov, Cikánský potok - Včelná, Zlatý potok - Záhoří_U Mlýna, Zlatý potok - Chroboly, Zlatý potok - Ovesné, Zlatý potok – Ovesné_býv. Ledrův Mlýn, Tisovka - Miletínky, Luční potok - Miletínky, Vltava - Želnava, Teplá Vltava - Lenora, Teplá Vltava - Polka u MVE, Studená Vltava - Černý Kříž_pod, Uhlíkovský potok - Záhvozdí, Vltavský potok - Borová Lada - rybí líheň, Vydří potok - Nový Svět, Řasnice - Lenora, Řasnice - Vlčí Jámy, Řasnice - Hliniště, Hamerský potok - Zadní Hamry, Hamerský potok - Přední Zvonková, Pestřice - Račín II, Pestřice – Račín II., Pestřice – Račín II.|105, Otava - Rejštejn, Volšovka - Františkova Ves, Volšovka - Hartmanice_Peklo, Losenice - Rejštejn, Losenice – U Wágnera_PR Losenice, Rothovský potok - silnice Pestřice - Kyselov, Rothovský potok - Nad PR Kozí stráň, Ostružná - Jesení, Křemžský potok - Tisovka, Křemžský potok - Ktiš, Teplá Vltava II - Borová Lada|284, Zelenohorský potok III - Pravětínská Lada|283, Teplá Vltava I - Polka|285, Blanice – Arnoštov, Vltava – Želnava_chaty","9792461, 9655244, 9795987, 9812775, 9812778, 12975894, 13410954, 13410953, 13411778, 13411663, 13411664, 13411665, 13411666, 13411667, 13410508, 13411668, 13411669, 13411670, 13411764, 13411765, 13410509, 13411767, 13411771, 13411766, 13411768, 13411769, 13411763, 13411786, 13411785, 13411782, 13411781, 13411784, 13411783, 13411773, 13411746, 13411730, 13411770, 13411772, 13411692, 13411691, 13411739, 13411732, 13411731, 13411776, 13411774, 13411777, 13411227, 12976032, 13411688, 13411687, 13411675, 13411689, 13411690, 13411780, 13411779, 13411671, 13411787, 13411788, 12976355, 12976354, 12976356, 13411197, 13411214",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,1
CZ0314024,Lampetra planeri,CELKOVE_HODNOCENI,NA,"2016, 2020, 2022, 2023, 2024, 2018","6744b,6744d,6745b,6746a, 6746a, 6745b,6746a, 7350a, 6744a, 6744b, 6744d, 6745a, 6745c, 7049b, 7049a, 7049d, 7149a, 7149b, 6949c, 7050d, 7050c, 7149d, 7048d, 7048c, 7047b, 6947d, 7250c, 7249d, 6847c, 6746d, 6846b, 6745d, 7047b,7048a,7048c, 7149b,7149d","VD Nýrsko - Zelená Lhota, VD Nýrsko - Hamry, Úhlava - Hamry, Ostružná-Čachrov, Ostružná-Nemilkov, Ostružná – Nemilkov, Ostružná III - Čachrov, Ostružná II - Nemilkov, Pestřice - Pod Pestřickým vrchem, Chodská Úhlava - Svatá Katerina_st. hranice, Chodská Úhlava - Uhliště, Úhlava - Milence, Úhlava - Stará Lhota, Úhlava - Přední Hamry, Svinský Potok - Dvorec, Jelenka - Krotějov, Jelenka - Divišovice, Jelenka - Městiště, Blanice - Řepešín, Blanice – Krečovice, Blanice - Blanický Mlýn, Blanice - Spálenec - žel. st., Vltava - Smolná Pec, Černý potok - Blažejovice, Tetřívčí potok - Spálenec, Puchéřský potok - Arnoštov, Cikánský potok - Včelná, Zlatý potok - Záhoří_U Mlýna, Zlatý potok - Chroboly, Zlatý potok - Ovesné, Zlatý potok – Ovesné_býv. Ledrův Mlýn, Tisovka - Miletínky, Luční potok - Miletínky, Vltava - Želnava, Teplá Vltava - Lenora, Teplá Vltava - Polka u MVE, Studená Vltava - Černý Kříž_pod, Uhlíkovský potok - Záhvozdí, Vltavský potok - Borová Lada - rybí líheň, Vydří potok - Nový Svět, Řasnice - Lenora, Řasnice - Vlčí Jámy, Řasnice - Hliniště, Hamerský potok - Zadní Hamry, Hamerský potok - Přední Zvonková, Pestřice - Račín II, Pestřice – Račín II., Pestřice – Račín II.|105, Otava - Rejštejn, Volšovka - Františkova Ves, Volšovka - Hartmanice_Peklo, Losenice - Rejštejn, Losenice – U Wágnera_PR Losenice, Rothovský potok - silnice Pestřice - Kyselov, Rothovský potok - Nad PR Kozí stráň, Ostružná - Jesení, Křemžský potok - Tisovka, Křemžský potok - Ktiš, Teplá Vltava II - Borová Lada|284, Zelenohorský potok III - Pravětínská Lada|283, Teplá Vltava I - Polka|285, Blanice – Arnoštov, Vltava – Želnava_chaty","9792461, 9655244, 9795987, 9812775, 9812778, 12975894, 13410954, 13410953, 13411778, 13411663, 13411664, 13411665, 13411666, 13411667, 13410508, 13411668, 13411669, 13411670, 13411764, 13411765, 13410509, 13411767, 13411771, 13411766, 13411768, 13411769, 13411763, 13411786, 13411785, 13411782, 13411781, 13411784, 13411783, 13411773, 13411746, 13411730, 13411770, 13411772, 13411692, 13411691, 13411739, 13411732, 13411731, 13411776, 13411774, 13411777, 13411227, 12976032, 13411688, 13411687, 13411675, 13411689, 13411690, 13411780, 13411779, 13411671, 13411787, 13411788, 12976355, 12976354, 12976356, 13411197, 13411214",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0314123,Lampetra planeri,LOK_PROCDOBR,ne,2022,7149d,"Uhlíkovský potok - Slunečná_ pod Žumberským mlýnem, Uhlíkovský potok - Slunečná_ pod Žumberským mlýnem_V, Uhlíkovský potok - Slunečná_ pod Žumberským mlýnem_VI, Uhlíkovský potok - Slunečná_ Žumberský mlýn, Uhlíkovský potok - Slunečná_nad Žumberským potokem","11919795, 11919798, 11919799, 11919803, 11920136",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,0
CZ0314123,Lampetra planeri,CELKOVE_HODNOCENI,NA,2022,7149d,"Uhlíkovský potok - Slunečná_ pod Žumberským mlýnem, Uhlíkovský potok - Slunečná_ pod Žumberským mlýnem_V, Uhlíkovský potok - Slunečná_ pod Žumberským mlýnem_VI, Uhlíkovský potok - Slunečná_ Žumberský mlýn, Uhlíkovský potok - Slunečná_nad Žumberským potokem","11919795, 11919798, 11919799, 11919803, 11920136",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0314124,Lampetra planeri,LOK_PROCDOBR,ne,"2023, 2022, 2019, 2024","7052c, 7152a, 7152c, 7151d, 7051d, 7051c, 7151c, 7151a, 7050d,7051c,7051d,7052c,7151a,7151c,7151d","Vltava - Boršov_jez U Rybů, Vltava – U Rybáka, Vltava – Dívčí kámen, Vltava – U Rohana, Vltava - Černice_kemp Paradijs, Vltava - Svachova Lhota_tábořiště Marina, Vltava - Č. Krumlov_U Trojice, Křemžský potok - Červený Mlýn, Křemžský potok - Klimšův Mlýn, Křemžský potok - Brloh_ČOV, Křemžský potok - Brloh_nad, náhon na Cvrčkův Mlýn - Brloh, Křemžský potok - Cvrčkův Mlýn_nad, Polečnice – Kájovský potok – Kájov II., Chvalšinský potok – Křenov, Borová - Borová_nad, Křemžský potok - PP Dobročkovské hadce, Křemžský potok - U Bendelínů, Křemžský potok - Vackův Mlýn, Křemžský potok - Hamry, Vltava – U Mašků, Borová - Červený Dvůr, Křenovský potok - Křenov, Polečnice – Nové Dobrkovice, Kokotínský potok - Zlatá Koruna|245, Vltava - Třísov","13411747, 13411748, 13411749, 13411750, 13411751, 13411752, 13411753, 13411759, 13411758, 13411757, 13411756, 13411755, 13411754, 13411760, 13411761, 13411762, 13411254, 13411173, 13411176, 13411249, 13410503, 13411182, 13411181, 13411179, 12976201, 13384675",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,1
